question,top_retrieved_chunk,top_2_retrieved_chunk,top_3_retrieved_chunk
هل يحق للعامل فترة راحة خلال الدوام؟,المادة الثالثة بعد المائة : للوزير أن يحدد بقرار منه الحالات والأعمال التي يتحتم فيها استمرار العمل دون فترة راحة لأسباب فنية أو لظروف التشغيل، ويلتزم صاحب العمل في هذه الحالات والأعمال بإعطاء فترة للصلاة والطعام والراحة بطريقة تنظمها إدارة المنشأة أثناء العمل.,المادة الرابعة والخمسون بعد المائة : يحق للمرأة العاملة عندما تعود إلى مزاولة عملها بعد إجازة الوضع أن تأخذ بقصد إرضاع مولودها فترة أو فترات للاستراحة لا تزيد في مجموعها على الساعة في اليوم الواحد، وذلك علاوة على فترات الراحة الممنوحة لجميع العمال، وتحسب هذه الفترة أو الفترات من ساعات العمل الفعلية، ولا يترتب عليها تخفيض الأجر.,"المادة الأولى بعد المائة : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""تنظم ساعات العمل وفترات الراحة خلال اليوم، بحيث لا يعمل العامل أكثر من خمس ساعات متتالية دون فترة للراحة والصلاة والطعام لا تقل عن نصف ساعة في المرة الواحدة خلال مجموع ساعات العمل، وبحيث لا يبقى العامل في مكان العمل أكثر من اثنتي عشرة ساعة في اليوم الواحد""."
ما هي مدة الإجازة المرضية المتصلة أو المتقطعة؟,المادة الثامنة عشرة بعد المائة : لا يجوز للعامل أثناء تمتعه بأي من إجازاته المنصوص عليها في هذا الفصل أن يعمل لدى صاحب عمل آخر، فإذا أثبت صاحب العمل أن العامل قد خالف ذلك فله أن يحرمه من أجره عن مدة الإجازة أو يسترد ما سبق أن أداه إليه من ذلك الأجر.,المادة السادسة عشرة بعد المائة : يجوز للعامل بموافقة صاحب العمل الحصول على إجازة دون أجر، يتفق الطرفان على تحديد مدتها، ويعد عقد العمل موقوفًا خلال مدة الإجازة فيما زاد على عشرين يومًا، ما لم يتفق الطرفان على خلاف ذلك.,"المادة الحادية والخمسون بعد المائة : تم تعديل أحكام المادتين (الحادية والخمسين بعد المائة) و(الثانية والخمسين بعد المائة)؛ وإعادة صياغتهما بعد تعديل أحكامهما لتكون في مادة واحدة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ بالنص الآتي ""المادة الحادية والخمسون بعد المائة 1 - للمرأة العاملة الحق في إجازة وضع بأجر كامل لمدة عشرة أسابيع توزعها كيف تشاء؛ تبدأ بحدٍّ أقصى بأربعة أسابيع قبل التاريخ المرجح للوضع، ويحدد التاريخ المرجح للوضع بموجب شهادة طبية مصدقة من جهة صحية. 2 - يحظر تشغيل المرأة بعد الوضع بأي حال من الأحوال خلال الستة أسابيع التالية له، ولها الحق في تمديد الإجازة مدة شهر دون أجر. 3 - للمرأة العاملة - في حالة إنجاب طفل مريض أو من ذوي الاحتياجات الخاصة وتتطلب حالته الصحية مرافقاً مستمراً له - الحق في إجازة مدتها شهر بأجر كامل تبدأ بعد انتهاء مدة إجازة الوضع، ولها الحق في تمديد الإجازة لمدة شهر دون أجر""."
هل التأمين الطبي إلزامي؟,المادة الأربعون بعد المائة : تحدد مسؤولية أصحاب العمل السابقين الذين اشتغل لديهم العامل المصاب بالمرض المهني على ضوء التقرير الطبي للطبيب المعالج، ويلزم هؤلاء بالتعويض المنصوص عليه في المادة الثامنة والثلاثين بعد المائة من هذا النظام، كل بنسبة المدة التي قضاها المصاب في خدمته، بشرط أن تكون الصناعات أو المهن التي يمارسونها مما ينشأ عنها المرض الذي أصيب به العامل.,المادة الخامسة والأربعون بعد المائتين : ينشر هذا النظام في الجريدة الرسمية، ويعمل به بعد مائة وثمانين يومًا من تاريخ نشره.,المادة الثالثة والأربعون بعد المائتين : يصدر الوزير القرارات واللوائح اللازمة لتنفيذ أحكام هذا النظام خلال مائة وثمانين يومًا من تاريخ العمل بهذا النظام، وتنشر اللوائح التنفيذية في الجريدة الرسمية.
ما هي الأنشطة التي يتم ترخيصها وفق المادة 10 المعدلة؟,المادة الثانية والتسعون : لا يجوز حسم أي مبلغ من أجور العامل لقاء حقوق خاصة دون موافقة خطية منه، إلا في الحالات الآتية 1 - استرداد قروض صاحب العمل، بشرط ألا يزيد ما يحسم من العامل في هذه الحالة على 10% من أجره. 2 - اشتراكات التأمينات الاجتماعية ، وأي اشتراكات أخرى مستحقة على العامل ومقررة نظامًا. 3 - اشتراكات العامل في صندوق الادخار والقروض المستحقة للصندوق. 4 - أقساط أي مشروع يقوم به صاحب العمل لبناء المساكن بقصد تمليكها للعمال أو أي مزية أخرى. 5 - الغرامات التي توقع على العامل بسبب المخالفات التي يرتكبها، وكذلك المبلغ الذي يقتطع منه مقابل ما أتلفه. 6 - استيفاء دين إنفاذًا لأي حكم قضائي، على ألَّا يزيد ما يحسم شهريًّا لقاء ذلك على ربع الأجر المستحق للعامل ما لم يتضمن الحكم خلاف ذلك. ويستوفى دين النفقة أولًا، ثم دين المأكل والملبس والمسكن قبل الديون الأخرى.,المادة التاسعة : اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها صاحب العمل لعماله. وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.,"المادة السادسة والثمانون بعد المائة : - عُدلت هذه المادة وذلك بموجب المرسوم الملكي رقم (م / 5) وتاريخ 7 / 1 / 1442هـ، لتكون بالنص الآتي ""لا يجوز تشغيل أي شخص في المنجم أو المحجر لم يتم الثامنة عشرة من العمر""."
هل العمالة الزراعية ينطبق على المنشآت الصغيرة؟,المادة السابعة والعشرون بعد المائة : تطبق أحكام هذا الفصل على المنشآت ذات المخاطر الكبرى .,المادة الثانية والثلاثون بعد المائة : لا تسري أحكام هذا الفصل على المنشآت التي تخضع لفرع الأخطار المهنية من نظام التأمينات الاجتماعية.,"المادة التسعون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" 1 - يجب دفع أجر العامل وكل مبلغ مستحق له بالعملة الرسمية للبلاد طبقاً للأحكام الآتية أ - العمال باليومية تصرف أجورهم مرة كل أسبوع على الأقل. ب - العمال ذوو الأجور الشهرية تصرف أجورهم مرة في الشهر. ج - إذا كان العمل يؤدى بالقطعة، ويحتاج لمدة تزيد على أسبوعين، فيجب أن يحصل العامل على دفعة كل أسبوع تتناسب مع ما أتمه من العمل، ويصرف باقي الأجر كاملاً خلال الأسبوع التالي لتسليم العمل. د - في غير ما ذكر، تؤدى إلى العمال أجورهم مرة كل أسبوع على الأقل. 2 - تلزم المنشآت بدفع الأجور في حسابات العمال عن طريق البنوك المعتمدة في المملكة، بشرط ألا يتجاوز موعد استحقاقها المواعيد المحددة أعلاه، ويجوز للوزير استثناء بعض المنشآت من ذلك""."
هل يستحق العامل شهادة خبرة؟,"المادة الرابعة والخمسون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""لا يجوز وضع العامل تحت التجربة أكثر من مرة واحدة لدى صاحب عمل واحد. واستثناء من ذلك يجوز باتفاق طرفي العقد - كتابة - إخضاع العامل لفترة تجربة أخرى بشرط أن تكون في مهنة أخرى أو عمل آخر، أو أن يكون قد مضى على انتهاء علاقة العامل بصاحب العمل مدة لا تقل عن ستة أشهر. وإذا أنهي العقد خلال فترة التجربة فإن أيًّا من الطرفين لا يستحق تعويضاً، كما لا يستحق العامل مكافأة نهاية الخدمة عن ذلك"".",المادة الخامسة والستون بعد المائة : على صاحب العمل قبل تشغيل الحدث أن يستوفي منه المستندات الآتية 1 - بطاقة الهوية الوطنية أو شهادة رسمية بميلاده. 2 - شهادة باللياقة الصحية للعمل المطلوب صادرة من طبيب مختص ومصدق عليها من جهة صحية. 3 - موافقة ولي أمر الحدث. ويجب حفظ هذه المستندات في الملف الخاص بالحدث.,المادة التاسعة والسبعون : لا ينقضي عقد العمل بوفاة صاحب العمل، ما لم تكن شخصيته قد روعيت في إبرام العقد، ولكنه ينتهي بوفاة العامل أو بعجزه عن أداء عمله، وذلك بموجب شهادة طبية معتمدة من الجهات الصحية المخولة، أو من الطبيب المخول الذي يعينه صاحب العمل.
هل بدل السكن إلزامي؟,"المادة الحادية والستون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة وذلك بإضافة الفقرات الآتية ""4- أن يمتنع عن القيام بكل ما من شأنه إبطال أو إضعاف تطبيق تكافؤ الفرص أو المعاملة في الاستخدام والمهنة، سواء من خلال الاستبعاد أو التفريق أو التفضيل بين المتقدمين للعمل أو العاملين لديه على أساس العرق أو اللون أو الجنس أو السن أو الإعاقة أو الحالة الاجتماعية أو أي شكل من أشكال التمييز الأخرى. 5- أن يوفر السكن اللائق لعماله. وله أن يستعيض عن ذلك ببدل نقدي مناسب يدفعه لهم مع الأجر. 6- أن يوفر وسيلة مواصلات مناسبة لعماله من مقر سكنهم إلى مقر العمل. وله أن يستعيض عن ذلك ببدل نقدي مناسب يدفعه لهم مع الأجر "".",المادة الخامسة والأربعون بعد المائتين : ينشر هذا النظام في الجريدة الرسمية، ويعمل به بعد مائة وثمانين يومًا من تاريخ نشره.,المادة الثالثة والأربعون بعد المائتين : يصدر الوزير القرارات واللوائح اللازمة لتنفيذ أحكام هذا النظام خلال مائة وثمانين يومًا من تاريخ العمل بهذا النظام، وتنشر اللوائح التنفيذية في الجريدة الرسمية.
كيف تثبت العلاقة العمالية إذا لم يوجد عقد؟,المادة الخامسة والتسعون : 1- إذا لم ينص عقد العمل أو لائحة تنظيم العمل على الأجر الذي يلتزم به صاحب العمل يؤخذ بالأجر المقدر لعمل من النوع ذاته في المنشأة إن وجد، وإلا قدر الأجر طبقًا لعرف المهنة في الجهة التي يؤدى فيها العمل، فإن لم يوجد تولت هيئة تسوية الخلافات العمالية تقدير الأجر وفقًا لمقتضيات العدالة. 2 - ويتبع ذلك أيضًا في تحديد نوع الخدمة الواجب على العامل أداؤها، وفي تحديد مداها.,المادة السادسة عشرة : 1- إذا لم يتمكن صاحب العمل من ممارسة العمل بنفسه، فعليه أن يعين مسؤولًا يمثله في مكان العمل. وفي حالة تعدد الشركاء أو المديرين في المنشأة يسمى أحدهم من المقيمين في مكان العمل، يمثل صاحب العمل ويكون مسؤولًا عن أي مخالفة لأحكام هذا النظام. 2- على صاحب العمل أن يبلغ مكتب العمل المختص كتابة باسم الشريك أو المدير، وعليه في حالة تغييره أن يبلغ المكتب باسم الشريك أو المدير الجديد خلال سبعة أيام على الأكثر من تولي هذا الأخير عمله. 3- إذا لم يوجد شخص معين بصفة مدير مسؤول للمنشأة، أو إذا لم يباشر الشخص المعين عمله- فإن من يقوم فعلًا بأعمال المدير أو صاحب العمل نفسه يعد مديرًا مسؤولًا عن المنشأة. وفي كل الأحوال تبقى مسؤولية صاحب العمل قائمة بصفة أصلية.,"المادة الرابعة والثلاثون بعد المائتين: - إضافة مادة تحمل الرقم ( الرابعة والثلاثون بعد المائتين ) ليكون النص كالآتي "" أ- لا تقبل أمام المحاكم العمالية أي دعوى تتعلق بالمطالبة بحق من الحقوق المنصوص عليها في هذا النظام أو الناشئة عن عقد العمل بعد مضي اثني عشر شهاً من تاريخ انتهاء علاقة العمل، ما لم يقدم المدعي عذراً تقبله المحكمة، أو يصدر من المدعى عليه إقرار بالحق. ب- تنظر الدعاوى العمالية على وجه الاستعجال."" وأضيفت هذه المادة بموجب المرسوم الملكي رقم (م/14) وتاريخ 1440/2/22هـ"
هل يجوز خصم أكثر من 5 أيام من راتب العامل كغرامة في الشهر الواحد؟,المادة السبعون : لا يجوز توقيع جزاء تأديبي على العامل لأمر ارتكبه خارج مكان العمل ما لم يكن متصلًا بالعمل أو بصاحبه أو مديره المسؤول، كما لا يجوز أن يوقع على العامل عن المخالفة الواحدة غرامة تزيد قيمتها على أجرة خمسة أيام، ولا توقيع أكثر من جزاء واحد على المخالفة الواحدة، ولا أن تُقتطع من أجره وفاءً للغرامات التي توقع عليه أكثر من أجر خمسة أيام في الشهر الواحد، ولا أن تزيد مدة إيقافه عن العمل دون أجر على خمسة أيام في الشهر.,المادة الرابعة والستون بعد المائة : لا يجوز تشغيل الأحداث تشغيلًا فعليًّا أكثر من ست ساعات في اليوم الواحد لسائر شهور السنة، عدا شهر رمضان، فيجب ألا تزيد ساعات العمل الفعلية فيه على أربع ساعات. وتنظم ساعات العمل بحيث لا يعمل الحدث أكثر من أربع ساعات متصلة دون فترة أو أكثر للراحة والطعام والصلاة، لا تقل في المرة الواحدة عن نصف ساعة، وبحيث لا يبقى في مكان العمل أكثر من سبع ساعات. ولا يجوز تشغيل الأحداث في أيام الراحة الأسبوعية أو في أيام الأعياد والعطلات الرسمية والإجازة السنوية. ولا تسري عليهم الاستثناءات التي نصت عليها المادة السادسة بعد المائة من هذا النظام.,المادة التاسعة والستون : لا يجوز اتهام العامل بمخالفة مضى على كشفها أكثر من ثلاثين يومًا، ولا يجوز توقيع جزاء تأديبي بعد تاريخ انتهاء التحقيق في المخالفة وثبوتها في حق العامل بأكثر من ثلاثين يومًا.
هل يجب على صاحب العمل توفير لائحة تنظيمية معتمدة وإطلاع الموظفين عليها؟,المادة الثالثة والخمسون بعد المائة : على صاحب العمل توفير الرعاية الطبية للمرأة العاملة أثناء الحمل والولادة.,المادة السادسة والأربعون بعد المائة : يلزم صاحب العمل وعلى نفقته بالنسبة لمن يؤدي عملًا في الأماكن البعيدة عن العمران بكل ما يأتي أو بعضه وفقًا لما يحدده الوزير 1 - توفير حوانيت لبيع الطعام والملابس وغير ذلك من الحاجات الضرورية بأسعار معتدلة، وذلك في مناطق العمل التي لا تتوافر فيها عادة تلك الحوانيت. 2 - توفير وسائل ترفيه وتثقيف مناسبة وملاعب رياضية ملحقة بأماكن العمل. 3 - إجراء ما يلزم من الترتيبات الطبية المناسبة للمحافظة على صحة العمال وعلاج أسرهم علاجًا شاملًا. (ويقصد بالأسرة الزوج والأولاد والأم والأب المقيمون معه). 4 - توفير مدارس لتعليم أولاد العمال إذا لم يتوافر في المنطقة مدارس كافية. 5 - إعداد مساجد أو مصليات في أماكن العمل. 6 - إعداد برامج لمحو الأمية بين العمال. وتحدد اللائحة الأماكن البعيدة عن العمران.,المادة التاسعة والسبعون : لا ينقضي عقد العمل بوفاة صاحب العمل، ما لم تكن شخصيته قد روعيت في إبرام العقد، ولكنه ينتهي بوفاة العامل أو بعجزه عن أداء عمله، وذلك بموجب شهادة طبية معتمدة من الجهات الصحية المخولة، أو من الطبيب المخول الذي يعينه صاحب العمل.
ما هو حكم المنافسة بعد انتهاء العقد؟,المادة الرابعة والثلاثون بعد المائة : تعد الإصابة إصابة عمل وفق ما هو منصوص عليه في نظام التأمينات الاجتماعية، وتعد الأمراض المهنية في حكم إصابات العمل، كما يعد تاريخ أول مشاهدة طبية للمرض في حكم تاريخ الإصابة.,المادة الخامسة والثلاثون بعد المائة : تعد في حكم الإصابة حالة الانتكاس أو أي مضاعفة تنشأ عنها، ويسري عليها بالنسبة للمعونة والعلاج ما يسري على الإصابة الأصلية.,المادة الثامنة والثمانون : إذا انتهت خدمة العامل وجب على صاحب العمل دفع أجره وتصفية حقوقه خلال أسبوع- على الأكثر- من تاريخ انتهاء العلاقة العقدية، أما إذا كان العامل هو الذي أنهى العقد وجب على صاحب العمل تصفية حقوقه كاملة خلال مدة لا تزيد على أسبوعين. ولصاحب العمل أن يحسم أي دين مستحق له بسبب العمل من المبالغ المستحقة للعامل.
كم المدة المسموحة لرفع دعوى عمالية؟,"المادة الرابعة والأربعون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي "" يجب أن يشتمل برنامج التدريب على المهارة التي يتدرب العامل عليها والقواعد والشروط التي تتبع في التدريب، وعلى مدته وعدد ساعاته والبرامج التدريبية النظرية والعملية، وطريقة الاختبار والشهادات التي تمنح في هذا الشأن. وتحدد اللائحة المعايير والقواعد العامة التي ينبغي اتباعها بهذا الخصوص لرفع مستوى أداء العامل من حيث المهارة والإنتاجية "".","المادة السابعة والسبعون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""ما لم يتضمن العقد تعويضاً محدداً مقابل إنهائه من أحد الطرفين لسبب غير مشروع، يستحق الطرف المتضرر من إنهاء العقد تعويضاً على النحو الآتي 1 - أجر خمسة عشر يوماً عن كل سنة من سنوات خدمة العامل، إذا كان العقد غير محدد المدة. 2 - أجر المدة الباقية من العقد إذا كان العقد محدد المدة. 3 - يجب ألا يقل التعويض المشار إليه في الفقرتين (1) و(2) من هذه المادة عن أجر العامل لمدة شهرين"".","المادة الخامسة والخمسون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""1 - ينتهي عقد العمل المحدد المدة بانقضاء مدته، فإذا استمر طرفاه في تنفيذ عُدَّ العقدُ مجدداً لمدة غير محددة. مع مراعاة ما نصت عليه المادة (السابعة والثلاثون) من هذا النظام بالنسبة إلى غير السعوديين. 2 - إذا تضمن العقد المحدد المدة شرطاً يقضي بتجديده لمدة مماثلة أو لمدة محددة، فإنه يتجدد للمدة المتفق عليها. فإن تعدد التجديد ثلاث مرات متتالية، أو بلغت مدة العقد الأصلي مع مدة التجديد أربع سنوات أيهما أقل واستمر الطرفان في تنفيذه؛ تحوّل العقد إلى عقد غير محدد المدة""."
كيف تتم تسوية مخالفات العمل؟,"المادة الثالثة والثلاثون بعد المائتين: - أُضيفت هذه المادة وذلك بموجب المرسوم الملكي رقم (م/46) وتاريخ 1436/6/5هـ، لتكون بالنص الآتي "" للوزير منح مكافأة مالية لا تزيد على 25% من مبلغ الغرامة المحصلة لمن يساعد - من موظفي التفتيش أو من غيرهم - في الكشف عن أيّ من مخالفات أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له.""","المادة السادسة والتسعون بعد المائة : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" يختص مفتشو العمل بما يأتي 1 - مراقبة تنفيذ أحكام هذا النظام واللائحة والقرارات الصادرة تنفيذاً له. 2 - تزويد أصحاب العمل والعمال بالمعلومات والإرشادات الفنية التي تمكنهم من اتباع أحسن الوسائل لتنفيذ أحكام هذا النظام. 3 - إبلاغ الجهات المختصة بأوجه النقص التي تقصر الأحكام القائمة من معالجتها، واقتراح ما يلزم لذلك. 4 - ضبط مخالفات أحكام هذا النظام واللائحة والقرارات الصادرة تنفيذاً له. 5 - التحقق من المخالفات التي تضبطها جهات حكومية مختصة أخرى وتحال إلى الوزارة. 6 - اقتراح الغرامة المناسبة وفقاً لجدول المخالفات والعقوبات"".","المادة الحادية والخمسون بعد المائة : تم تعديل أحكام المادتين (الحادية والخمسين بعد المائة) و(الثانية والخمسين بعد المائة)؛ وإعادة صياغتهما بعد تعديل أحكامهما لتكون في مادة واحدة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ بالنص الآتي ""المادة الحادية والخمسون بعد المائة 1 - للمرأة العاملة الحق في إجازة وضع بأجر كامل لمدة عشرة أسابيع توزعها كيف تشاء؛ تبدأ بحدٍّ أقصى بأربعة أسابيع قبل التاريخ المرجح للوضع، ويحدد التاريخ المرجح للوضع بموجب شهادة طبية مصدقة من جهة صحية. 2 - يحظر تشغيل المرأة بعد الوضع بأي حال من الأحوال خلال الستة أسابيع التالية له، ولها الحق في تمديد الإجازة مدة شهر دون أجر. 3 - للمرأة العاملة - في حالة إنجاب طفل مريض أو من ذوي الاحتياجات الخاصة وتتطلب حالته الصحية مرافقاً مستمراً له - الحق في إجازة مدتها شهر بأجر كامل تبدأ بعد انتهاء مدة إجازة الوضع، ولها الحق في تمديد الإجازة لمدة شهر دون أجر""."
هل يجب أن يكون عقد الموظف غير السعودي مكتوب باللغة العربية؟,"المادة السابعة والثلاثون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي ""يجب أن يكون عقد عمل غير السعودي مكتوباً ومحدد المدة. وإذا خلا العقد من بيان مدته تعد مدته (سنة) من تاريخ مباشرة العامل الفعلية، وإذا استمر العمل بعد انتهاء هذه المدة، عُدَّ متجدداً لمدة مماثلة"".",المادة السادسة والثلاثون : على الوزير أن يحدد بقرار منه المهن والأعمال التي يحظر على غير السعودي الاشتغال بها.,المادة الثالثة والثلاثون : لا يجوز لغير السعودي أن يمارس عملًا، ولا يجوز أن يسمح له بمزاولته، إلا بعد الحصول على رخصة عمل من الوزارة وفق النموذج الذي تعده لهذا الغرض. ويشترط لمنح الرخصة ما يأتي 1 - أن يكون العامل قد دخل البلاد بطريقة مشروعة ومصرحًا له بالعمل. 2 - أن يكون من ذوي الكفايات المهنية أو المؤهلات الدراسية التي تحتاج إليها البلاد، ولا يوجد من أبناء البلاد من يحملها أو كان العدد الموجود منهم لا يفي بالحاجة، أو يكون من فئة العمال العاديين التي تحتاج إليها البلاد. 3 - أن يكون متعاقدًا مع صاحب عمل وتحت مسؤوليته. ويقصد بكلمة (العمل) في هذه المادة كل عمل صناعي أو تجاري أو زراعي أو مالي أو غيره وأي خدمة بما في ذلك الخدمة المنزلية.
هل العمولة تعتبر جزءاً من الأجر؟,المادة السادسة والستون : الجزاءات التأديبية التي يجوز لصاحب العمل توقيعها على العامل 1 - الإنذار. 2 - الغرامة. 3 - الحرمان من العلاوة أو تأجيلها لمدة لا تزيد على سنة متى كانت مقررة من صاحب العمل. 4 - تأجيل الترقية مدة لا تزيد على سنة متى كانت مقررة من صاحب العمل. 5 - الإيقاف عن العمل مع الحرمان من الأجر. 6- الفصل من العمل في الحالات المقررة في النظام.,"المادة الرابعة والتسعون بعد المائة : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""يتولى تفتيش العمل مفتشون من موظفي الوزارة، أو من غيرهم من السعوديين، يحددهم الوزير أو من يفوضه، وتكون لهم الصلاحيات والاختصاصات المنصوص عليها في هذا النظام"".","المادة الرابعة والثلاثون بعد المائتين : تم تعديل أحكام المواد (التاسعة والعشرين بعد المائتين)، و(الثلاثين بعد المائتين)، و(الحادية والثلاثين بعد المائتين)، و(الثانية والثلاثين بعد المائتين)، و(الثالثة والثلاثين بعد المائتين)، و(الرابعة والثلاثين بعد المائتين)، و(الخامسة والثلاثين بعد المائتين)، و(السادسة والثلاثين بعد المائتين)، و(السابعة والثلاثين بعد المائتين)، و(السادسة والثلاثين بعد المائتين)، و(السابعة والثلاثين بعد المائتين)، و(الثامنة والثلاثين بعد المائتين)، و(التاسعة والثلاثين بعد المائتين)، و(الحادية والأربعين بعد المائتين)؛ وإعادة صياغة هذه المواد بعد تعديل أحكامها لتكون في مادتين بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ على النحو الآتي ""المادة التاسعة والعشرون بعد المائتين 1 - مع عدم الإخلال بأي عقوبة أشد ينص عليها نظام آخر، يعاقب كل من يخل بأي حكم من أحكام هذا النظام أو لائحته أو القرارات الصادرة تنفيذا له، بعقوبة أو أكثر من العقوبات الآتية أ - غرامة مالية لا تتجاوز مائة ألف ريـال. ب - إغلاق المنشأة لمدة لا تزيد على ثلاثين يوماً. ج - إغلاق المنشأة نهائيًّا. 2 - يجوز مضاعفة العقوبة الموقعة على المخالف في حال تكرار ارتكاب لمخالفة. 3 - تتعدد الغرامات بتعدد الأشخاص الذين وقعت المخالفة في شأنهم"". "" المادة الثلاثون بعد المائتين 1 - للوزارة – بقرار من الوزير أو من ينيبه – إيقاع العقوبتين أو إحداهما المنصوص عليهما في الفقرتين الفرعيتين (أ) و(ب) من الفقرة (1) من المادة (التاسعة والعشرين بعد المائتين) من هذا النظام، بما لا يتجاوز نصف الحد الأعلى المقرر لأي منهما، ويجوز التظلم من القرار الصادر بالعقوبة أمام المحكمة الإدارية المختصة. 2 - يصدر – بقرار من الوزير – جدول تُحدد فيه المخالفات والعقوبات المقابلة لها التي لا تتجاوز نصف الحد الأعلى للعقوبتين الواردتين في الفقرتين الفرعيتين (أ) و(ب) من الفقرة (1) من المادة (التاسعة والعشرين بعد المائتين) من هذا النظام، ويراعى في ذلك التدرج في تحديد مقدارها وتناسبها مع جسامة المخالفة. 3 - يصدر – بقرار من الوزير – جدول تحدد فيه المخالفات التي تتجاوز عقوباتها نصف الحد الأعلى للعقوبتين الواردتين في الفقرتين الفرعيتين (أ) و(ب) من الفقرة (1) من المادة (التاسعة والعشرين بعد المائتين) من هذا النظام، وتحدد فيه كذلك المخالفات التي تكون عقوبتها العقوبة الواردة في الفقرة الفرعية (ج) من الفقرة (1) من المادة المذكورة. 4 - إذا كانت المخالفة تستوجب عقوبة تزيد على نصف الحد الأعلى المقرر لها، أو كانت من المخالفات التي تستوجب عقوبة الإغلاق النهائي للمنشأة وفقاً للجدول المنصوص عليه في الفقرة (3) من هذه المادة؛ فترفع الوزارة دعوى أمام المحكمة المختصة للنظر فيها وإيقاع العقوبة المناسبة المنصوص عليها في المادة (التاسعة والعشرين بعد المائتين) من هذا النظام. 5 - يجوز الاتفاق بين الوزارة والمخالف على تسوية المخالفة، وذلك بدفع مبلغ الغرامة الذي تقدره الوزارة، على أن يصدر بهذه التسوية قرار من الوزير""."
