Question,Answer
كيف تتم تسوية مخالفات العمل؟,يمكن عرض التسوية على المخالف مقابل تخفيض الغرامة بنسبة معينة قبل رفع الدعوى.
من يعتمد اتفاق التسوية في المخالفات؟,يرفع الاتفاق للإدارة المختصة ويصدر به قرار من صاحب الصلاحية.
ما هي المعلومات التي يجب أن يرسلها صاحب العمل للوزارة عن التدريب؟,بيانات المتدربين، نوع التدريب، مدته، ومكانه.
ما هو الهدف من منصة استطلاع؟,تمكين العموم والقطاع الخاص من إبداء آرائهم في مشروعات الأنظمة واللوائح قبل إقرارها.
هل ملاحظات العموم في استطلاع ملزمة؟,تدرس الجهة الحكومية الملاحظات وتستفيد منها في صياغة النص النهائي.
كيف يمكن معرفة التعديلات الجديدة على نظام العمل؟,من خلال متابعة القرارات الوزارية والنشر في الجريدة الرسمية ومنصة استطلاع.
هل يحق لصاحب العمل الامتناع عن تدريب السعوديين؟,لا، التدريب واجب وفق النسب المحددة في النظام واللوائح (مثل المادة 15 و 42).
ما هي وثيقة العمل الحر؟,وثيقة تمنح للأفراد لممارسة أعمال حرة، وقد ترتبط ببعض استثناءات العمل لبعض الوقت.
هل برنامج أجير إلزامي؟,هو إلزامي لتنظيم عمل الوافدين لدى غير أصحاب عملهم الأصليين أو في مواسم معينة.
ما هي عقوبة عدم توفير مكان للصلاة في المصنع؟,تعد مخالفة لاشتراطات البيئة المكانية وتستوجب الغرامة.
هل يجوز دمج دورات المياه للجنسين في مقرات العمل الصغيرة؟,لا، النص صريح بوجوب توفير دورات مياه مستقلة.
متى يعتبر العامل السعودي من ذوي الإعاقة 'قادراً على العمل'؟,إذا مكنته الترتيبات والخدمات الميسرة من القيام بمهام الوظيفة.
العمالة الزراعية,هل تشملهم حماية الأجور؟
يعتمد على اللوائح الخاصة بهم، والتعديل يشير لفصلهم عن النظام العام.,ما علاقة العمالة الزراعية برؤية 2030؟
تساهم في تنظيم سوق العمل ورفع الكفاءة وزيادة التوطين.,هل توجد غرامة لمخالفة أحكام العمالة الزراعية؟
نعم، توجد غرامات محددة في جدول المخالفات والجزاءات.,أين أجد تفاصيل أكثر عن العمالة الزراعية؟
في اللوائح التنفيذية والقرارات الوزارية الملحقة بالنظام.,هل العمالة الزراعية ينطبق على المنشآت الصغيرة؟
نعم، النظام يسري على جميع المنشآت ما لم ينص على استثناء.,صندوق الموارد البشرية
هل يدعم التدريب خارج المملكة؟,نعم، وفق ضوابط الصندوق والاتفاقيات.
ما علاقة صندوق الموارد البشرية برؤية 2030؟,تساهم في تنظيم سوق العمل ورفع الكفاءة وزيادة التوطين.
هل توجد غرامة لمخالفة أحكام صندوق الموارد البشرية؟,نعم، توجد غرامات محددة في جدول المخالفات والجزاءات.
أين أجد تفاصيل أكثر عن صندوق الموارد البشرية؟,في اللوائح التنفيذية والقرارات الوزارية الملحقة بالنظام.
هل صندوق الموارد البشرية ينطبق على المنشآت الصغيرة؟,نعم، النظام يسري على جميع المنشآت ما لم ينص على استثناء.
تراخيص الاستقدام,ما هو الضمان البنكي المطلوب؟
تحدده اللوائح التنفيذية لنشاط الاستقدام.,ما علاقة تراخيص الاستقدام برؤية 2030؟
تساهم في تنظيم سوق العمل ورفع الكفاءة وزيادة التوطين.,هل توجد غرامة لمخالفة أحكام تراخيص الاستقدام؟
نعم، توجد غرامات محددة في جدول المخالفات والجزاءات.,أين أجد تفاصيل أكثر عن تراخيص الاستقدام؟
في اللوائح التنفيذية والقرارات الوزارية الملحقة بالنظام.,هل تراخيص الاستقدام ينطبق على المنشآت الصغيرة؟
نعم، النظام يسري على جميع المنشآت ما لم ينص على استثناء.,عمل غير السعودي لبعض الوقت
هل يحتاج لموافقة الكفيل؟,نعم، عادة يتطلب موافقة صاحب العمل الأصلي عبر أجير.
ما علاقة عمل غير السعودي لبعض الوقت برؤية 2030؟,تساهم في تنظيم سوق العمل ورفع الكفاءة وزيادة التوطين.
هل توجد غرامة لمخالفة أحكام عمل غير السعودي لبعض الوقت؟,نعم، توجد غرامات محددة في جدول المخالفات والجزاءات.
أين أجد تفاصيل أكثر عن عمل غير السعودي لبعض الوقت؟,في اللوائح التنفيذية والقرارات الوزارية الملحقة بالنظام.
هل عمل غير السعودي لبعض الوقت ينطبق على المنشآت الصغيرة؟,نعم، النظام يسري على جميع المنشآت ما لم ينص على استثناء.
إحلال السعوديين,هل يمكن استقدام بديل لغير السعودي المفصول؟
الأصل هو البحث عن بديل سعودي قبل الاستقدام.,ما علاقة إحلال السعوديين برؤية 2030؟
تساهم في تنظيم سوق العمل ورفع الكفاءة وزيادة التوطين.,هل توجد غرامة لمخالفة أحكام إحلال السعوديين؟
نعم، توجد غرامات محددة في جدول المخالفات والجزاءات.,أين أجد تفاصيل أكثر عن إحلال السعوديين؟
في اللوائح التنفيذية والقرارات الوزارية الملحقة بالنظام.,هل إحلال السعوديين ينطبق على المنشآت الصغيرة؟
نعم، النظام يسري على جميع المنشآت ما لم ينص على استثناء.,تجهيزات المقر
هل تلزم المنشأة بحضانة أطفال؟,نعم، إذا بلغ عدد العاملات حداً معيناً (50 عاملة وأكثر من 10 أطفال).
ما علاقة تجهيزات المقر برؤية 2030؟,تساهم في تنظيم سوق العمل ورفع الكفاءة وزيادة التوطين.
هل توجد غرامة لمخالفة أحكام تجهيزات المقر؟,نعم، توجد غرامات محددة في جدول المخالفات والجزاءات.
أين أجد تفاصيل أكثر عن تجهيزات المقر؟,في اللوائح التنفيذية والقرارات الوزارية الملحقة بالنظام.
هل تجهيزات المقر ينطبق على المنشآت الصغيرة؟,نعم، النظام يسري على جميع المنشآت ما لم ينص على استثناء.
ذوي الإعاقة,هل يجب توفير ممرات خاصة للكراسي المتحركة؟
نعم، ضمن الترتيبات التيسيرية.,ما علاقة ذوي الإعاقة برؤية 2030؟
تساهم في تنظيم سوق العمل ورفع الكفاءة وزيادة التوطين.,هل توجد غرامة لمخالفة أحكام ذوي الإعاقة؟
نعم، توجد غرامات محددة في جدول المخالفات والجزاءات.,أين أجد تفاصيل أكثر عن ذوي الإعاقة؟
في اللوائح التنفيذية والقرارات الوزارية الملحقة بالنظام.,هل ذوي الإعاقة ينطبق على المنشآت الصغيرة؟
نعم، النظام يسري على جميع المنشآت ما لم ينص على استثناء.,مكاتب العمل
ما هي خدمات مكتب العمل؟,التفتيش، تسوية الخلافات، إصدار التراخيص، وغيرها.
ما علاقة مكاتب العمل برؤية 2030؟,تساهم في تنظيم سوق العمل ورفع الكفاءة وزيادة التوطين.
هل توجد غرامة لمخالفة أحكام مكاتب العمل؟,نعم، توجد غرامات محددة في جدول المخالفات والجزاءات.
أين أجد تفاصيل أكثر عن مكاتب العمل؟,في اللوائح التنفيذية والقرارات الوزارية الملحقة بالنظام.
هل مكاتب العمل ينطبق على المنشآت الصغيرة؟,نعم، النظام يسري على جميع المنشآت ما لم ينص على استثناء.
اللجان العمالية,هل هي ملزمة في كل شركة؟
اللجان العمالية اختيارية في المنشآت التي تزيد عن 100 عامل.,ما علاقة اللجان العمالية برؤية 2030؟
تساهم في تنظيم سوق العمل ورفع الكفاءة وزيادة التوطين.,هل توجد غرامة لمخالفة أحكام اللجان العمالية؟
نعم، توجد غرامات محددة في جدول المخالفات والجزاءات.,أين أجد تفاصيل أكثر عن اللجان العمالية؟
في اللوائح التنفيذية والقرارات الوزارية الملحقة بالنظام.,هل اللجان العمالية ينطبق على المنشآت الصغيرة؟
نعم، النظام يسري على جميع المنشآت ما لم ينص على استثناء.,الإبلاغ
هل هوية المبلغ سرية؟,نعم، يتم التعامل مع البلاغات بسرية.
ما علاقة الإبلاغ برؤية 2030؟,تساهم في تنظيم سوق العمل ورفع الكفاءة وزيادة التوطين.
هل توجد غرامة لمخالفة أحكام الإبلاغ؟,نعم، توجد غرامات محددة في جدول المخالفات والجزاءات.
أين أجد تفاصيل أكثر عن الإبلاغ؟,في اللوائح التنفيذية والقرارات الوزارية الملحقة بالنظام.
هل الإبلاغ ينطبق على المنشآت الصغيرة؟,نعم، النظام يسري على جميع المنشآت ما لم ينص على استثناء.
