Question,Answer
هل يجوز ترحيل الإجازة السنوية للسنة التالية؟,يجوز لصاحب العمل تأجيل إجازة العامل لسنة تالية بحد أقصى 90 يوماً، ولا يجوز أكثر من ذلك إلا بموافقة العامل كتابة.
هل يحق للعامل الحصول على بدل مالي عن إجازته السنوية؟,لا يجوز للعامل النزول عن إجازته بمقابل مالي أثناء الخدمة، ولكن يستحق بدلاً نقدياً عن الأيام التي لم يستعملها عند انتهاء الخدمة.
كم عدد أيام إجازة عيد الفطر وعيد الأضحى؟,4 أيام لعيد الفطر، و4 أيام لعيد الأضحى.
كم يوم إجازة يستحق العامل بمناسبة اليوم الوطني؟,يوم واحد (23 سبتمبر).
كم يوم إجازة ليوم التأسيس؟,يوم واحد (22 فبراير).
ما هي مدة الإجازة المرضية المتصلة أو المتقطعة؟,يستحق العامل إجازة مرضية (خلال السنة الواحدة): الـ 30 يوماً الأولى بأجر كامل، الـ 60 يوماً التالية بـ 75% من الأجر، والـ 30 يوماً التي تليها بدون أجر.
هل يحق لصاحب العمل إنهاء خدمة العامل أثناء مرضه؟,لا يجوز إنهاء خدمة العامل بسبب المرض قبل استنفاد مدد الإجازة المرضية المستحقة له نظاماً.
كم يوم إجازة يستحق العامل في حالة الزواج؟,5 أيام بأجر كامل.
كم يوم إجازة في حالة وفاة أحد الأصول أو الفروع أو الزوج/الزوجة؟,5 أيام بأجر كامل.
كم يوم إجازة للمولود الجديد (للأب)؟,3 أيام بأجر كامل.
هل يوجد إجازة لأداء فريضة الحج؟,نعم، إجازة لا تقل عن 10 أيام ولا تزيد عن 15 يوماً شاملة إجازة العيد، تمنح مرة واحدة طوال الخدمة لمن لم يسبق له الحج، بعد قضاء سنتين في العمل.
ما هي إجازة الامتحانات الدراسية؟,يستحق العامل إجازة لأداء الامتحانات بعدد أيام الامتحان، إذا كان الانتساب بموافقة صاحب العمل.
هل يستحق العامل إجازة بدون راتب؟,يجوز للعامل الحصول على إجازة بدون أجر باتفاق الطرفين.
كم مدة إجازة الوضع (الأمومة)؟,تستحق المرأة العاملة إجازة وضع لمدة 10 أسابيع، توزعها كيف تشاء، تبدأ بحد أقصى 4 أسابيع قبل التاريخ المرجح للوضع.
هل إجازة الوضع مدفوعة الأجر؟,نعم، تكون مدفوعة الأجر (كامل أو نصف حسب مدة الخدمة سابقاً، والآن غالباً كامل الأجر حسب التعديلات الحديثة وشروط التأمينات).
هل يحق للمرأة العاملة تمديد إجازة الوضع؟,نعم، يحق لها تمديدها شهراً إضافياً بدون أجر.
هل يحق للمرأة فترات إرضاع؟,نعم، تستحق ساعة راحة يومياً للإرضاع، تحسب من ساعات العمل الفعلية.
هل يجوز فصل المرأة العاملة أثناء الحمل أو إجازة الوضع؟,لا يجوز فصلها أو إنذارها بالفصل أثناء الحمل أو التمتع بإجازة الوضع.
من يتحمل تكاليف الرعاية الطبية للحمل والولادة؟,يتحمل صاحب العمل تكاليف الرعاية الطبية (غالباً عبر التأمين الطبي الإلزامي).
ما هي إجازة العدة للمرأة العاملة المتوفى عنها زوجها؟,تستحق إجازة عدة بأجر كامل لمدة 4 أشهر و10 أيام (للمسلمة)، و15 يوماً لغير المسلمة.
هل يجوز تشغيل النساء في الأعمال الخطرة؟,يُحظر تشغيل النساء في المهن والأعمال الخطرة أو الضارة بالصحة التي يحددها الوزير.
هل يجوز تشغيل النساء ليلاً؟,يجوز تشغيل النساء ليلاً في مجالات وأعمال محددة ووفق ضوابط معينة تضمن سلامتهن.
هل يلزم توفير مقاعد للنساء في مكان العمل؟,نعم، يجب على صاحب العمل توفير مقاعد في جميع الأماكن التي تعمل فيها النساء لاستراحتن.
كيف تحسب مكافأة نهاية الخدمة؟,أجر نصف شهر عن كل سنة من السنوات الخمس الأولى، وأجر شهر عن كل سنة من السنوات التالية. تحسب على أساس الأجر الأخير.
ماذا يستحق العامل إذا استقال (استقالة)؟,إذا كانت الخدمة أقل من سنتين: لا شيء. من 2-5 سنوات: ثلث المكافأة. من 5-10 سنوات: ثلثي المكافأة. 10 سنوات فأكثر: المكافأة كاملة.
هل يستحق العامل مكافأة نهاية خدمة إذا تم فصله لسبب مشروع (المادة 80)؟,لا، إذا فصل العامل بموجب المادة 80 (مثل الغياب المتكرر، الاعتداء، إفشاء الأسرار) فلا يستحق مكافأة نهاية خدمة.
متى يجب دفع مستحقات العامل عند انتهاء الخدمة؟,إذا أنهى صاحب العمل العقد، يجب الدفع خلال أسبوع. إذا أنهى العامل العقد، يجب الدفع خلال أسبوعين.
ما هي مهلة الإشعار لإنهاء العقد غير محدد المدة؟,60 يوماً للعاملين بأجر شهري، و30 يوماً لغيرهم. يجب أن يكون الإشعار مكتوباً.
ماذا لو أنهى أحد الطرفين العقد دون مراعاة مهلة الإشعار؟,يلتزم بدفع تعويض للطرف الآخر يعادل أجر العامل عن مدة الإشعار أو المتبقي منها.
هل يحق للعامل التغيب للبحث عن عمل خلال مهلة الإشعار؟,نعم، يحق له يوم كامل في الأسبوع أو 8 ساعات أسبوعياً للبحث عن عمل آخر، بأجر كامل.
متى يعتبر العقد منتهياً؟,ينتهي العقد باتفاق الطرفين، أو انتهاء مدته (للمحدد)، أو بلوغ سن التقاعد، أو القوة القاهرة، أو فسخه لأحد الأسباب النظامية.
ما هو سن التقاعد في نظام العمل؟,60 سنة للرجال و55 سنة للنساء، ما لم يتفق الطرفان على الاستمرار في العمل بعد هذه السن.
هل يجوز فصل العامل بسبب انخفاض أدائه؟,نعم، ولكن بعد منحه فرصة كافية للتحسن وتوجيه إنذارات له وفق لائحة تنظيم العمل.
ما هو التعويض عن الفصل التعسفي (غير المشروع)؟,إذا لم يتضمن العقد تعويضاً محدداً: أجر 15 يوماً عن كل سنة خدمة للعقد غير المحدد، أو أجر المدة المتبقية للعقد المحدد، على ألا يقل التعويض عن أجر شهرين.
هل يحق للعامل شهادة خدمة عند المغادرة؟,نعم، يجب على صاحب العمل إعطاء العامل شهادة خدمة مجانية توضح تاريخ الالتحاق والانتهاء والمهنة والأجر الأخير، دون ذكر ما يسيء لسمعته.
هل يجوز لصاحب العمل استرداد ما دفعه لتدريب العامل؟,إذا استقال العامل قبل انتهاء المدة المتفق عليها مقابل التدريب، يجوز لصاحب العمل المطالبة بتكاليف التدريب النسبية للمدة المتبقية.
ماذا يحدث إذا توفي العامل أثناء الخدمة؟,ينتهي العقد، وتدفع مستحقاته ومكافأة نهاية الخدمة كاملة لورثته.
هل يجوز إنهاء العقد بسبب إفلاس الشركة؟,نعم، إفلاس المنشأة وإغلاقها نهائياً يعد سبباً مشروعاً لإنهاء العقود، مع حفظ حقوق العمال.
ما هي أنواع الجزاءات التأديبية التي يجوز توقيعها على العامل؟,الإنذار، الغرامة، الحرمان من العلاوة، التأجيل في الترقية، الإيقاف عن العمل بدون أجر، والفصل من الخدمة.
هل يجوز خصم أكثر من 5 أيام من راتب العامل كغرامة في الشهر الواحد؟,لا يجوز خصم أكثر من أجر 5 أيام في الشهر الواحد كغرامات تأديبية.
هل يجوز معاقبة العامل على مخالفة ارتكبها خارج مكان العمل؟,لا، إلا إذا كانت المخالفة ذات صلة مباشرة بالعمل أو صاحب العمل.
متى يسقط حق صاحب العمل في توقيع الجزاء؟,يسقط الحق إذا مضى أكثر من 30 يوماً على اكتشاف المخالفة دون اتخاذ إجراء التحقيق، أو مضى أكثر من 30 يوماً على انتهاء التحقيق دون توقيع الجزاء.
هل يجب التحقيق مع العامل قبل توقيع الجزاء؟,نعم، لا يجوز توقيع جزاء إلا بعد إبلاغ العامل بالمخالفة كتابةً والتحقيق معه وسماع دفاعه.
هل يمكن للعامل الاعتراض على الجزاء التأديبي؟,نعم، يحق له الاعتراض أمام المحكمة العمالية خلال 15 يوماً من إبلاغه بالقرار.
هل يجوز تشديد العقوبة في حال تكرار المخالفة؟,نعم، يجوز تشديد العقوبة إذا ارتكب العامل المخالفة نفسها خلال 180 يوماً من المخالفة الأولى.
ما هي أقصى مدة للإيقاف عن العمل كعقوبة؟,لا تزيد مدة الإيقاف عن العمل كجزاء تأديبي عن 5 أيام في المرة الواحدة.
هل يجوز لصاحب العمل فرض عقوبة غير منصوص عليها في لائحة تنظيم العمل؟,لا يجوز توقيع عقوبة غير واردة في نظام العمل أو لائحة تنظيم العمل المعتمدة.
هل تمحى المخالفات من سجل العامل؟,نعم، عادة ما تمحى آثار المخالفة بعد مضي فترة زمنية معينة (مثل سنة) إذا حسن سلوك العامل، وفق اللوائح الداخلية.
ما هي التزامات صاحب العمل تجاه السلامة والصحة المهنية؟,يجب عليه توفير بيئة عمل آمنة، واتخاذ الاحتياطات للوقاية من المخاطر، وتوفير أدوات السلامة والوقاية الشخصية، وتدريب العمال عليها.
هل يتحمل العامل تكلفة أدوات السلامة؟,لا، صاحب العمل ملزم بتوفير الملابس والمهمات الوقائية مجاناً.
ماذا يفعل العامل إذا أصيب إصابة عمل؟,يجب إبلاغ صاحب العمل أو المشرف فوراً، وعلى صاحب العمل تقديم الإسعافات الأولية ونقله للعلاج وتحمل التكاليف.
هل يستحق العامل تعويضاً عن إصابة العمل؟,نعم، يستحق التعويض وفق أحكام التأمينات الاجتماعية (فرع الأخطار المهنية) عن العجز أو الوفاة.
هل يجوز للعامل الامتناع عن العمل إذا كان هناك خطر داهم؟,نعم، إذا كان هناك خطر حال يهدد صحته أو جسمه ولم يقم صاحب العمل بإزالته، يجوز له الامتناع دون خسارة حقوقه.
ما هي الفحوصات الطبية الدورية؟,يجب على صاحب العمل إجراء فحوصات طبية دورية للعمال المعرضين للأمراض المهنية مرة كل سنة على الأقل.
هل يجب وجود صندوق إسعافات أولية في مكان العمل؟,نعم، يجب توفير خزانة إسعافات طبية مزودة بالأدوية والرباطات والمطهرات اللازمة.
ما هي واجبات العامل تجاه السلامة؟,يجب عليه استخدام أدوات الوقاية، والمحافظة عليها، وتنفيذ تعليمات السلامة، وعدم تعطيل أجهزة الحماية.
هل التدخين مسموح في أماكن العمل؟,يمنع التدخين في أماكن العمل المغلقة، ويجب تخصيص أماكن محددة للمدخنين بعيداً عن أماكن العمل والمواد القابلة للاشتعال.
كيف يتم التعامل مع الحرائق في مكان العمل؟,يجب توفير أجهزة إطفاء الحريق ومخارج الطوارئ، وتدريب العمال على خطة الإخلاء واستخدام الطفايات.
هل يحق لصاحب العمل الاحتفاظ بجواز سفر العامل؟,لا، لا يحق لصاحب العمل الاحتفاظ بجواز سفر العامل دون موافقته، ويعتبر ذلك مخالفة.
من يتحمل رسوم الإقامة ورخصة العمل؟,يتحمل صاحب العمل رسوم استقدام العامل غير السعودي، ورسوم الإقامة ورخصة العمل وتجديدها، وتغيير المهنة.
من يتحمل رسوم نقل الكفالة (نقل الخدمة)؟,يتحمل صاحب العمل الجديد رسوم نقل خدمات العامل إليه.
هل يجوز تشغيل الأحداث (صغار السن)؟,لا يجوز تشغيل من هم دون سن 15 عاماً، وهناك ضوابط مشددة لتشغيل من هم بين 15 و18 عاماً.
ما هي ساعات عمل الأحداث؟,لا يجوز تشغيل الأحداث أكثر من 6 ساعات يومياً، ولا يجوز تشغيلهم في أيام الراحة أو الأعياد.
هل يجب توفير سكن للعمال؟,يلتزم صاحب العمل بتوفير سكن ملائم أو دفع بدل سكن نقدي، وفق العقد واللوائح.
هل يحق للعامل تذكرة سفر عند الإجازة أو النهاية؟,يتحمل صاحب العمل تذكرة عودة العامل إلى بلده عند انتهاء العقد. أما التذاكر السنوية فهي حسب الاتفاق في العقد.
ما هي اللغة المعتمدة في العقود والقرارات؟,اللغة العربية هي اللغة المعتمدة في جميع العقود والسجلات والملفات، ويمكن استخدام لغة أجنبية بجانبها ولكن النص العربي هو المعتمد.
كيف تحسب مدة الخدمة؟,تحسب مدة الخدمة من تاريخ التحاق العامل بالعمل حتى تاريخ انتهاء علاقته التعاقدية، وتعتبر السنوات شمسية.
هل يجوز للعامل العمل لدى الغير؟,لا يجوز للعامل أن يعمل لدى غير صاحب العمل دون موافقته، ولا يجوز لصاحب العمل تشغيل عامل غيره دون اتباع الإجراءات النظامية.
ما هي المحكمة المختصة بالخلافات العمالية؟,المحاكم العمالية هي المختصة بالنظر في المنازعات المتعلقة بعقود العمل والأجور والإصابات والفصل وغيرها.
كم المدة المسموحة لرفع دعوى عمالية؟,يجب رفع الدعوى خلال 12 شهراً من تاريخ انتهاء علاقة العمل، وإلا سقط الحق في المطالبة (التقادم)، ما لم يكن هناك عذر أو إقرار بالحق.
هل للعامل المتقاعد حقوق خاصة؟,يستحق المعاش التقاعدي من التأمينات الاجتماعية إذا توافرت شروط المدة والسن.
ما هو حكم المنافسة بعد انتهاء العقد؟,يجوز الاتفاق على شرط عدم المنافسة لمدة محددة (لا تزيد عن سنتين) وفي مكان ونوع عمل محددين، لحماية أسرار العمل.
هل يحق لصاحب العمل تفتيش العامل؟,يجوز تفتيش العمال عند الدخول والخروج إذا اقتضت طبيعة العمل ذلك، وبطريقة تحفظ كرامتهم.
ماذا لو تغيب العامل عن العمل بدون عذر؟,إذا تغيب أكثر من 15 يوماً متصلة أو 30 يوماً متقطعة في السنة، يجوز فصله بعد إنذاره كتابياً.
هل يجوز للعامل المستقيل الرجوع في استقالته؟,يجوز له الرجوع في الاستقالة خلال أسبوع من تاريخ تقديمها بموافقة صاحب العمل، أو إذا لم يبت فيها صاحب العمل.
ما هي حقوق العامل ذي الاحتياجات الخاصة؟,يجب توفير بيئة عمل مناسبة وتسهيلات خاصة، ويتمتع بكافة الحقوق المقررة للعمال الآخرين.
هل يجوز التمييز في الأجور بين السعوديين وغير السعوديين؟,الأصل عدم التمييز في الأجور عن العمل ذي القيمة المتساوية، ولكن قد تختلف الأجور بناء على الخبرة والمؤهلات والعرض والطلب.
ما هو برنامج حماية الأجور؟,نظام يلزم المنشآت برفع ملفات أجور عمالها إلكترونياً للتأكد من دفع الرواتب في وقتها وبالقيمة المتفق عليها.
ما هي عقوبة تشغيل المتسللين أو مخالفي الإقامة؟,غرامات مالية كبيرة، والسجن، والمنع من الاستقدام، والتشهير.
هل يجوز الاتفاق على إعفاء صاحب العمل من مسؤولية إصابات العمل؟,يقع باطلاً أي اتفاق يعفي صاحب العمل من مسؤولية إصابات العمل.
ما هي الإجازة الاضطرارية؟,لا يوجد نص صريح في النظام الحالي يسمى 'إجازة اضطرارية'، ولكن يمكن خصمها من الإجازة السنوية أو اعتبارها بدون راتب بموافقة صاحب العمل.
هل يجوز لصاحب العمل إلزام العامل بشراء منتجات الشركة؟,لا يجوز إلزام العامل بشراء منتجات أو خدمات من صاحب العمل.
كيف تثبت العلاقة العمالية إذا لم يوجد عقد؟,يمكن إثباتها بمسيرات الرواتب، شهادة الشهود، التحويلات البنكية، أو أي قرائن أخرى.
