Section,Chapter,Article,Text,Status,Source
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة الحادية عشرة :,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي : ""إذا عهد صاحب العمل لأي شخص طبيعي أو معنوي القيام بعمل من أعماله الأصلية، أو جزء منها؛ وجب على الأخير أن يعطي عماله جميع الحقوق والمزايا التي يعطيها صاحب العمل الأصلي لعماله"".",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة الثانية عشرة :,"تم تعديل أحكام المواد (الثانية عشرة) و(الثالثة عشرة) و(الرابعة عشرة)؛ وإعادة صياغتها بعد تعديل أحكامها لتكون في مادتين بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ على النحو الآتي : ""المادة الثانية عشرة : 1 - تضع الوزارة نموذجاً موحداً - أو أكثر - للائحة تنظيم العمل، على أن يكون شاملاً لقواعد تنظيم العمل وما يتصل به من أحكام، بما في ذلك الأحكام المتعلقة بالميزات والأحكام الخاصة بالمخالفات والجزاءات التأديبية. 2 - تضع الوزارة ضوابط وآليات اعتماد لوائح تنظيم العمل"". ""المادة الثالثة عشرة : 1 - يلتزم كل صاحب عمل بإعداد لائحة لتنظيم العمل في منشأته وفق النموذج المعد من الوزارة، ويجوز للوزير الاستثناء من ذلك. 2 - يجوز لصاحب العمل تضمين اللائحة شروطاً وأحكاماً إضافية، بما لا يتعارض مع أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له. 3 - يجب على صاحب العمل أن يعلن لائحة تنظيم العمل وأي تعديل يطرأ عليها في مكان ظاهر في المنشأة أو أي وسيلة أخرى تكفل علم الخاضعين لها بأحكامها"".",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة الثالثة عشرة :,"تم تعديل أحكام المواد (الثانية عشرة) و(الثالثة عشرة) و(الرابعة عشرة)؛ وإعادة صياغتها بعد تعديل أحكامها لتكون في مادتين بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ على النحو الآتي : ""المادة الثانية عشرة : 1 - تضع الوزارة نموذجاً موحداً – أو أكثر – للائحة تنظيم العمل، على أن يكون شاملاً لقواعد تنظيم العمل وما يتصل به من أحكام، بما في ذلك الأحكام المتعلقة بالميزات والأحكام الخاصة بالمخالفات والجزاءات التأديبية. 2 - تضع الوزارة ضوابط وآليات اعتماد لوائح تنظيم العمل"". ""المادة الثالثة عشرة : 1 - يلتزم كل صاحب عمل بإعداد لائحة لتنظيم العمل في منشأته وفق النموذج المعد من الوزارة، ويجوز للوزير الاستثناء من ذلك. 2 - يجوز لصاحب العمل تضمين اللائحة شروطاً وأحكاماً إضافية، بما لا يتعارض مع أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له. 3 - يجب على صاحب العمل أن يعلن لائحة تنظيم العمل وأي تعديل يطرأ عليها في مكان ظاهر في المنشأة أو أي وسيلة أخرى تكفل علم الخاضعين لها بأحكامها"".",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة الرابعة عشرة :,"تم تعديل أحكام المواد (الثانية عشرة) و(الثالثة عشرة) و(الرابعة عشرة)؛ وإعادة صياغتها بعد تعديل أحكامها لتكون في مادتين بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ على النحو الآتي : ""المادة الثانية عشرة : 1 - تضع الوزارة نموذجاً موحداً - أو أكثر - للائحة تنظيم العمل، على أن يكون شاملاً لقواعد تنظيم العمل وما يتصل به من أحكام، بما في ذلك الأحكام المتعلقة بالميزات والأحكام الخاصة بالمخالفات والجزاءات التأديبية. 2 - تضع الوزارة ضوابط وآليات اعتماد لوائح تنظيم العمل"". ""المادة الثالثة عشرة : 1 - يلتزم كل صاحب عمل بإعداد لائحة لتنظيم العمل في منشأته وفق النموذج المعد من الوزارة، ويجوز للوزير الاستثناء من ذلك. 2 - يجوز لصاحب العمل تضمين اللائحة شروطاً وأحكاماً إضافية، بما لا يتعارض مع أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له. 3 - يجب على صاحب العمل أن يعلن لائحة تنظيم العمل وأي تعديل يطرأ عليها في مكان ظاهر في المنشأة أو أي وسيلة أخرى تكفل علم الخاضعين لها بأحكامها"".",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة الخامسة عشرة :,على   صاحب العمل  عند بدء العمل في أي منشأة أن يبلغ مكتب العمل المختص كتابة بالبيانات الآتية: 1 - اسم   المنشأة    ونوعها ومركزها، والعنوان الذي توجه إليه المراسلات، وأي معلومة يكون من شأنها سهولة الاتصال بالمنشأة. 2 - النشاط الاقتصادي المرخص له بمزاولته مع ذكر رقم السجل التجاري أو الترخيص وتاريخه، وجهة إصداره، وإرفاق صورة منه. 3 - عدد العمال المراد تشغيلهم في   المنشأة. 4 - اسم  مدير المنشأة    المسؤول. 5 - أي بيانات أخرى تطلبها الوزارة.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة السادسة عشرة :,1- إذا لم يتمكن   صاحب العمل    من ممارسة العمل بنفسه، فعليه أن يعين مسؤولًا يمثله في مكان العمل. وفي حالة تعدد الشركاء أو المديرين في   المنشأة    يسمى أحدهم من المقيمين في مكان العمل، يمثل   صاحب العمل    ويكون مسؤولًا عن أي مخالفة لأحكام هذا النظام. 2- على   صاحب العمل    أن يبلغ مكتب العمل المختص كتابة باسم الشريك أو المدير، وعليه في حالة تغييره أن يبلغ المكتب باسم الشريك أو المدير الجديد خلال سبعة أيام على الأكثر من تولي هذا الأخير عمله. 3- إذا لم يوجد شخص معين بصفة مدير مسؤول للمنشأة، أو إذا لم يباشر الشخص المعين عمله- فإن من يقوم فعلًا بأعمال المدير أو   صاحب العمل    نفسه يعد مديرًا مسؤولًا عن   المنشأة. وفي كل الأحوال تبقى مسؤولية   صاحب العمل    قائمة بصفة أصلية.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة السابعة عشرة :,على   صاحب العمل    أن يحتفظ في مكان العمل بالسجلات والكشوف والملفات التي تحدد ماهيتها، والبيانات التي يجب أن تتضمنها اللائحة. وعليه أن يضع في مكان ظاهر بموقع العمل جدولًا بمواعيد العمل، وفترات الراحة، ويوم الراحة الأسبوعي، ومواعيد بدء كل نوبة وانتهائها في حالة العمل بأسلوب المناوبة.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة الثامنة عشرة :,إذا انتقلت ملكية   المنشأة    لمالك جديد، أو طرأ تغيير على شكلها النظامي بالدمج أو التجزئة أو غير ذلك، تبقى عقود العمل نافذة في الحالين، وتعد الخدمة مستمرة. أما بالنسبة لحقوق العمال الناشئة عن المدة السابقة لهذا التغيير من أجور، أو مكافأة نهاية خدمة مفترضة الاستحقاق بتاريخ   انتقال الملكية، أو غير ذلك من حقوق؛ فيكون الخلف والسلف مسؤولين عنها بالتضامن. ويجوز في حال انتقال المنشآت الفردية لأي سبب اتفاق السلف والخلف على انتقال جميع حقوق العمال السابقة إلى المالك الجديد بموافقة العامل الخطية. وللعامل في حال عدم موافقته طلب إنهاء عقده وتسلّم مستحقاته من السلف.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة التاسعة عشرة :,تعد المبالغ المستحقة للعامل أو ورثته بمقتضى هذا النظام ديونًا ممتازة من الدرجة الأولى. وللعامل وورثته في سبيل استيفائها امتياز على جميع أموال صاحب العمل. وفي حالة إفلاس   صاحب العمل    أو تصفية منشأته تسجل المبالغ المذكورة ديونًا ممتازة، ويدفع للعامل مبلغ معجل يعادل أجر شهر واحد، وذلك قبل سداد أي مصروف آخر، بما في ذلك المصروفات القضائية ومصروفات الإفلاس أو التصفية.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة العشرون :,لا يجوز  لصاحب العمل    أو العامل أن يقوم بعمل من شأنه إساءة استعمال أحكام هذا النظام أو القرارات واللوائح الصادرة تنفيذًا لأحكامه. كما لا يجوز لأي منهما القيام بعمل من شأنه الضغط على حرية الآخر أو حرية عمال أو أصحاب عمل آخرين لتحقيق أي مصلحة أو وجهة نظر يتبناها مما يتنافى مع حرية العمل أو اختصاص الجهة المختصة بتسوية الخلافات.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة الحادية والعشرون :,على الوزير- في سبيل تنفيذ أحكام هذا النظام- التنسيق مع الجهات ذات العلاقة كلما اقتضى الأمر ذلك.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثاني: تنظيم عمليات التوظيف,الفصل الأول : التعريفات,المادة الثانية والعشرون :,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعُدلت هذه المادة على النحو الآتي: - عُدل صدر هذه المادة ليكون بالنص الآتي "" توفر الوزارة قنوات للتوظيف دون مقابل، تقوم بما يأتي:"". - عُدلت الفقرة (3/3) لتكون بالنص الآتي : ""مواءمة طلبات طالبي العمل مع الأعمال الشاغرة وفق مؤهلاتهم"".",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثاني: تنظيم عمليات التوظيف,الفصل الأول : التعريفات,المادة الثالثة والعشرون :,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة وذلك بإحلال كلمة ""قنوات"" محل كلمتي ""وحدة"" و ""وحدات"" أينما وردت في المادة",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثاني: تنظيم عمليات التوظيف,الفصل الأول : التعريفات,المادة الرابعة والعشرون :,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة وذلك بإحلال كلمة ""قنوات"" محل كلمتي ""وحدة"" و ""وحدات"" أينما وردت في المادة",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثاني: تنظيم عمليات التوظيف,الفصل الأول : التعريفات,المادة الخامسة والعشرون :,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة على النحو الآتي: - إحلال كلمة ""قنوات"" محل كلمتي ""وحدة"" و ""وحدات"" أينما وردت في المادة. -إحلال كلمة ""الوزارة"" محل عبارة ""مكتب العمل المختص"". أينما وردت في المادة.",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثاني: تنظيم عمليات التوظيف,الفصل الأول : التعريفات,المادة السادسة والعشرون :,1- على جميع المنشآت في مختلف أنشطتها، وأيًّا كان عدد العاملين فيها، العمل على استقطاب السعوديين وتوظيفهم، وتوفير وسائل استمرارهم في العمل، وإتاحة الفرصة المناسبة لهم لإثبات صلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم للأعمال الموكولة إليهم. 2- يجب ألا تقل نسبة العمال السعوديين الذين يستخدمهم   صاحب العمل    عن 75% من مجموع عماله. وللوزير في حالة عدم توافر الكفايات الفنية أو المؤهلات الدراسية، أو تعذر إشغال الوظائف بالمواطنين أن يخفض هذه النسبة مؤقتًا.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثاني: تنظيم عمليات التوظيف,الفصل الأول : التعريفات,المادة السابعة والعشرون :,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة وذلك بإحلال كلمة ""قنوات"" محل كلمتي ""وحدة"" و ""وحدات"" أينما وردت في المادة",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثاني: تنظيم عمليات التوظيف,الفصل الأول : التعريفات,المادة الثامنة والعشرون :,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة على النحو الآتي: - إحلال كلمة ""قنوات"" محل كلمتي ""وحدة"" و ""وحدات"" أينما وردت في المادة. -إحلال كلمة ""الوزارة"" محل عبارة ""مكتب العمل المختص"". أينما وردت في المادة. - إحلال عبارة ""التي يشغلها ذوو الإعاقة"" محل عبارة ""التي يشغلها المعوقون"".",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثاني: تنظيم عمليات التوظيف,الفصل الأول : التعريفات,المادة التاسعة والعشرون :,إذا أصيب أي عامل إصابة عمل نتج عنها نقص في قدراته المعتادة لا يمنعه من أداء عمل آخر غير عمله السابق، فإن على   صاحب العمل    الذي وقعت إصابة العامل بسبب العمل لديه توظيفه في العمل المناسب   بالأجر    المحدد لهذا العمل. ولا يخل هذا بما يستحقه من تعويض عن إصابته.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثاني: تنظيم عمليات التوظيف,الفصل الأول : التعريفات,المادة الثلاثون :,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي: ""1- لا يجوز لأي شخص طبيعي أو اعتباري أن يمارس نشاط توظيف السعوديين أو نشاط استقدام العمال أو نشاط الإسناد ما لم يكن مرخصاً له بذلك من الوزارة. وتحدد اللائحة ضوابط ممارسة كل من هذه الأنشطة، وشروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها. 2- تقترح الوزارة قيمة رسوم ممارسة الأنشطة المشار إليها في الفقرة (1) من هذه المادة، وأوجه صرفها، تمهيداً لاستكمال الإجراءات النظامية في هذا الشأن"".",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثاني: تنظيم عمليات التوظيف,الفصل الأول : التعريفات,المادة الحادية والثلاثون :,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة وذلك بإضافة عبارة ""أو الشركات"" بعد كلمة ""المكاتب""",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثالث: توظيف غير السعوديين,الفصل الأول : التعريفات,المادة الثانية والثلاثون :,لا يجوز الاستقدام بقصد العمل إلا بعد موافقة الوزارة .,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثالث: توظيف غير السعوديين,الفصل الأول : التعريفات,المادة الثالثة والثلاثون :,لا يجوز لغير السعودي أن يمارس عملًا، ولا يجوز أن يسمح له بمزاولته، إلا بعد الحصول على رخصة عمل من الوزارة وفق النموذج الذي تعده لهذا الغرض. ويشترط لمنح الرخصة ما يأتي: 1 - أن يكون العامل قد دخل البلاد بطريقة مشروعة ومصرحًا له بالعمل. 2 - أن يكون من ذوي الكفايات المهنية أو المؤهلات الدراسية التي تحتاج إليها البلاد، ولا يوجد من أبناء البلاد من يحملها أو كان العدد الموجود منهم لا يفي بالحاجة، أو يكون من فئة العمال العاديين التي تحتاج إليها البلاد. 3 - أن يكون متعاقدًا مع صاحب عمل وتحت مسؤوليته. ويقصد بكلمة (العمل) في هذه المادة كل عمل صناعي أو تجاري أو زراعي أو مالي أو غيره وأي خدمة بما في ذلك الخدمة المنزلية.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثالث: توظيف غير السعوديين,الفصل الأول : التعريفات,المادة الرابعة والثلاثون :,لا يغني عن رخصة العمل المشار إليها أي تصريح أو ترخيص يكون مطلوبًا من جهة أخرى لممارسة العمل أو المهنة.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثالث: توظيف غير السعوديين,الفصل الأول : التعريفات,المادة الخامسة والثلاثون :,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي : ""للوزارة أن تمتنع عن تجديد رخصة العمل متى خالف صاحب العمل المعايير الخاصة بتوطين الوظائف التي تضعها الوزارة"".",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثالث: توظيف غير السعوديين,الفصل الأول : التعريفات,المادة السادسة والثلاثون :,على الوزير أن يحدد بقرار منه المهن والأعمال التي يحظر على غير السعودي الاشتغال بها.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثالث: توظيف غير السعوديين,الفصل الأول : التعريفات,المادة السابعة والثلاثون :,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي: ""يجب أن يكون عقد عمل غير السعودي مكتوباً ومحدد المدة. وإذا خلا العقد من بيان مدته تعد مدته (سنة) من تاريخ مباشرة العامل الفعلية، وإذا استمر العمل بعد انتهاء هذه المدة، عُدَّ متجدداً لمدة مماثلة"".",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثالث: توظيف غير السعوديين,الفصل الأول : التعريفات,المادة الثامنة والثلاثون :,لا يجوز  لصاحب العمل    توظيف العامل في مهنة غير المهنة المدونة في رخصة عمله، ويحظر على العامل الاشتغال في غير مهنته قبل اتخاذ الإجراءات النظامية لتغيير المهنة.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الثالث: توظيف غير السعوديين,الفصل الأول : التعريفات,المادة التاسعة والثلاثون :,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م / 24 ) وتاريخ 12 / 5 / 1434 هـ ، لتصبح بالنص الآتى : ""المادة التاسعة والثلاثون: 1 ) لا يجوز - بغير اتباع القواعد والاجراءات النظامية المقررة – أن يترك صاحب العمل عامله يعمل لدى الغير، ولا يجوز للعامل أن يعمل لدى صاحب عمل آخر، كما لا يجوز لصاحب العمل توظيف عامل غيره، وتتولى وزارة العمل التفتيش على المنشآت، والتحقيق في المخالفات التي يتم ضبطها من قبل مفتشيها، ومن ثم إحالتها إلى وزارة الداخلية لتطبيق العقوبات المقررة بشأنها. 2 )	لا يجوز لصاحب العمل أن يترك عامله يعمل لحسابه الخاص، كما لا يجوز للعامل أن يعمل لحسابه الخاص، وتتولى وزارة الداخلية ضبط وإيقاف وترحيل وإيقاع العقوبات على المخالفين من العاملين لحسابهم الخاص (العمالة السائبة) في الشوارع والميادين والمتغيبين عن العمل (الهاربين) وكذلك أصحاب العمل والمشغلين لهؤلاء والمتسترين عليهم والناقلين لهم وكل من له دور في المخالفة وتطبيق العقوبات المقررة بحقهم "".",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
