المادة القانونية (م),السؤال,الإجابة,Gold_Article,Gold_Text,Overlap_Jaccard,Coverage_Answer_in_Article,Coverage_Article_in_Answer,Answer_Length_Tokens,Article_Length_Tokens
الرابعة,متى يكون الالتزام بأحكام الشريعة الإسلامية مطلوباً؟,يكون الالتزام مطلوباً عند تطبيق أحكام هذا النظام (نظام العمل). (المادة الرابعة),المادة الرابعة ,يجب على صاحب العمل والعامل عند تطبيق أحكام هذا النظام الالتزام بمقتضيات أحكام الشريعة الإسلامية.,0.3684210526315789,0.5833333333333334,0.5,12,15
الرابعة,هل يُمكن لنظام العمل أن يُخالف أحكام الشريعة الإسلامية؟,لا، يجب على كل من صاحب العمل والعامل الالتزام بمقتضيات أحكام الشريعة الإسلامية، مما يعني أن النظام مبني عليها. (المادة الرابعة),المادة الرابعة ,يجب على صاحب العمل والعامل عند تطبيق أحكام هذا النظام الالتزام بمقتضيات أحكام الشريعة الإسلامية.,0.4583333333333333,0.5238095238095238,0.7857142857142857,21,15
الخامسة,ما هي أنواع عقود العمل التي تسري عليها أحكام نظام العمل؟,تسري أحكام النظام على كل عقد عمل يلتزم بمقتضاه أي شخص بالعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر. (المادة الخامسة),المادة الخامسة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" تسري أحكام هذا النظام على الآتي 1 - كل عقد عمل يلتزم بمقتضاه أي شخص بالعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه؛ مقابل أجر. 2 - عمال الحكومة والهيئات والمؤسسات العامة، بمن فيهم الذين يشتغلون في المراعي أو الزراعة. 3 - عمال المؤسسات الخيرية. 4 - عقود التأهيل والتدريب مع غير العاملين لدى صاحب العمل في حدود الأحكام الخاصة المنصوص عليها في هذا النظام. 5 - العاملين بعض الوقت في حدود ما يتعلق بالسلامة والصحة المهنية وإصابات العمل وما يقرره الوزير"".",0.23809523809523808,0.9090909090909091,0.24390243902439024,23,96
الخامسة,هل يُطبق نظام العمل على عمال الحكومة والمؤسسات العامة؟,نعم، تسري أحكام النظام على عمال الحكومة والهيئات والمؤسسات العامة، بمن فيهم الذين يشتغلون في المراعي أو الزراعة. (المادة الخامسة),المادة الخامسة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" تسري أحكام هذا النظام على الآتي 1 - كل عقد عمل يلتزم بمقتضاه أي شخص بالعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه؛ مقابل أجر. 2 - عمال الحكومة والهيئات والمؤسسات العامة، بمن فيهم الذين يشتغلون في المراعي أو الزراعة. 3 - عمال المؤسسات الخيرية. 4 - عقود التأهيل والتدريب مع غير العاملين لدى صاحب العمل في حدود الأحكام الخاصة المنصوص عليها في هذا النظام. 5 - العاملين بعض الوقت في حدود ما يتعلق بالسلامة والصحة المهنية وإصابات العمل وما يقرره الوزير"".",0.21428571428571427,0.9,0.21951219512195122,20,96
الخامسة,ما هي الفئة من عقود التأهيل والتدريب التي تسري عليها أحكام هذا النظام؟,تسري الأحكام على عقود التأهيل والتدريب مع غير العاملين لدى صاحب العمل، وذلك في حدود الأحكام الخاصة المنصوص عليها في هذا النظام. (المادة الخامسة),المادة الخامسة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" تسري أحكام هذا النظام على الآتي 1 - كل عقد عمل يلتزم بمقتضاه أي شخص بالعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه؛ مقابل أجر. 2 - عمال الحكومة والهيئات والمؤسسات العامة، بمن فيهم الذين يشتغلون في المراعي أو الزراعة. 3 - عمال المؤسسات الخيرية. 4 - عقود التأهيل والتدريب مع غير العاملين لدى صاحب العمل في حدود الأحكام الخاصة المنصوص عليها في هذا النظام. 5 - العاملين بعض الوقت في حدود ما يتعلق بالسلامة والصحة المهنية وإصابات العمل وما يقرره الوزير"".",0.23809523809523808,0.9090909090909091,0.24390243902439024,24,96
السادسة,ما هي الأحكام التي تسري على العامل العرضي والموسمي والمؤقت؟,تسري عليهم الأحكام الخاصة بالواجبات وقواعد التأديب، والحد الأقصى لساعات العمل، وفترات الراحة اليومية والأسبوعية، والتشغيل الإضافي، والعطلات الرسمية، وقواعد السلامة والصحة المهنية، وإصابات العمل والتعويض عنها، وما يقرره الوزير. (المادة السادسة),المادة السادسة ,تسري على العامل العرضي والموسمي والمؤقت الأحكام الخاصة بالواجبات وقواعد التأديب، والحد الأقصى لساعات العمل، وفترات الراحة اليومية والراحة الأسبوعية، والتشغيل الإضافي، والعطلات الرسمية، وقواعد السلامة، والصحة المهنية، وإصابات العمل والتعويض عنها، وما يقرره الوزير.,0.7027027027027027,0.8666666666666667,0.7878787878787878,32,35
السادسة,هل يشمل نظام العمل الحد الأقصى لساعات العمل بالنسبة للعمال الموسميين؟,نعم، تسري على العامل الموسمي أحكام الحد الأقصى لساعات العمل وفترات الراحة. (المادة السادسة),المادة السادسة ,تسري على العامل العرضي والموسمي والمؤقت الأحكام الخاصة بالواجبات وقواعد التأديب، والحد الأقصى لساعات العمل، وفترات الراحة اليومية والراحة الأسبوعية، والتشغيل الإضافي، والعطلات الرسمية، وقواعد السلامة، والصحة المهنية، وإصابات العمل والتعويض عنها، وما يقرره الوزير.,0.20512820512820512,0.5714285714285714,0.24242424242424243,14,35
السادسة,هل تُطبق قواعد السلامة والصحة المهنية على العامل العرضي؟,نعم، تسري على العامل العرضي قواعد السلامة والصحة المهنية وإصابات العمل والتعويض عنها. (المادة السادسة),المادة السادسة ,تسري على العامل العرضي والموسمي والمؤقت الأحكام الخاصة بالواجبات وقواعد التأديب، والحد الأقصى لساعات العمل، وفترات الراحة اليومية والراحة الأسبوعية، والتشغيل الإضافي، والعطلات الرسمية، وقواعد السلامة، والصحة المهنية، وإصابات العمل والتعويض عنها، وما يقرره الوزير.,0.2972972972972973,0.7333333333333333,0.3333333333333333,15,35
السابعة,ما هي الفئات التي تُستثنى من تطبيق أحكام نظام العمل؟,يُستثنى من التطبيق أفراد أسرة صاحب العمل، لاعبو الأندية ومدربوها، العمالة المنزلية ومن في حكمهم، عمال الزراعة والرعاة الخاصون ومن في حكمهم، عمال البحر في سفن تقل حمولتها عن خمسمائة طن، والعاملون غير السعوديين القادمون لأداء مهمة محددة لا تزيد عن شهرين. (المادة السابعة),المادة السابعة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" 1 - يستثنى من تطبيق أحكام هذا النظام كل من أ - أفراد أسرة صاحب العمل، وهم زوجه وأصوله وفروعه الذين يعملون في المنشأة التي لا تضم سواهم. ب - لاعبو الأندية والاتحادات الرياضية ومدربوها. ج - العمالة المنزلية ومن في حكمهم. د - عمال الزراعة والرعاة الخاصون ومن في حكمهم. هـ - عمال البحر الذين يعملون في سفن تقل حمولتها عن خمسمائة طن. و - العاملون غير السعوديين القادمون لأداء مهمة محددة ولمدة لا تزيد على شهرين. 2 - يصدر الوزير - بالتنسيق مع الجهات المختصة - لائحة أو أكثر للفئات الواردة في الفقرات (أ) و(ج) و(د) و(هـ) و(و) من الفقرة (1) من هذه المادة؛ تشتمل على الحقوق والواجبات والأحكام الخاصة الأخرى ذات الصلة بكل فئة"".",0.3148148148148148,0.8947368421052632,0.3269230769230769,44,130
السابعة,ما هي الشروط المطبقة على أفراد أسرة صاحب العمل ليتم استثناؤهم من أحكام النظام؟,يجب أن يكونوا زوج صاحب العمل وأصوله وفروعه الذين يعملون في المنشأة التي لا تضم سواهم (أي لا يوجد عمال آخرون غيرهم). (المادة السابعة),المادة السابعة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" 1 - يستثنى من تطبيق أحكام هذا النظام كل من أ - أفراد أسرة صاحب العمل، وهم زوجه وأصوله وفروعه الذين يعملون في المنشأة التي لا تضم سواهم. ب - لاعبو الأندية والاتحادات الرياضية ومدربوها. ج - العمالة المنزلية ومن في حكمهم. د - عمال الزراعة والرعاة الخاصون ومن في حكمهم. هـ - عمال البحر الذين يعملون في سفن تقل حمولتها عن خمسمائة طن. و - العاملون غير السعوديين القادمون لأداء مهمة محددة ولمدة لا تزيد على شهرين. 2 - يصدر الوزير - بالتنسيق مع الجهات المختصة - لائحة أو أكثر للفئات الواردة في الفقرات (أ) و(ج) و(د) و(هـ) و(و) من الفقرة (1) من هذه المادة؛ تشتمل على الحقوق والواجبات والأحكام الخاصة الأخرى ذات الصلة بكل فئة"".",0.12389380530973451,0.6086956521739131,0.1346153846153846,24,130
السابعة,من هي الجهة التي تصدر اللوائح الخاصة لتنظيم الحقوق والواجبات للفئات المستثناة؟,يصدر الوزير - بالتنسيق مع الجهات المختصة - لائحة أو أكثر للفئات المستثناة؛ تشتمل على الحقوق والواجبات والأحكام الخاصة الأخرى ذات الصلة. (المادة السابعة),المادة السابعة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" 1 - يستثنى من تطبيق أحكام هذا النظام كل من أ - أفراد أسرة صاحب العمل، وهم زوجه وأصوله وفروعه الذين يعملون في المنشأة التي لا تضم سواهم. ب - لاعبو الأندية والاتحادات الرياضية ومدربوها. ج - العمالة المنزلية ومن في حكمهم. د - عمال الزراعة والرعاة الخاصون ومن في حكمهم. هـ - عمال البحر الذين يعملون في سفن تقل حمولتها عن خمسمائة طن. و - العاملون غير السعوديين القادمون لأداء مهمة محددة ولمدة لا تزيد على شهرين. 2 - يصدر الوزير - بالتنسيق مع الجهات المختصة - لائحة أو أكثر للفئات الواردة في الفقرات (أ) و(ج) و(د) و(هـ) و(و) من الفقرة (1) من هذه المادة؛ تشتمل على الحقوق والواجبات والأحكام الخاصة الأخرى ذات الصلة بكل فئة"".",0.18867924528301888,0.9090909090909091,0.19230769230769232,22,130
الثامنة,ما هو مصير أي شرط في عقد العمل يخالف أحكام نظام العمل؟,يبطل كل شرط يخالف أحكام هذا النظام. (المادة الثامنة),المادة الثامنة ,يبطل كل شرط يخالف أحكام هذا النظام، ويبطل كل إبراء أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل.,0.25925925925925924,0.7777777777777778,0.28,9,29
الثامنة,متى يبطل إبراء العامل أو مصالحته عن حقوقه الناشئة بموجب النظام؟,يبطل كل إبراء أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام أثناء سريان عقد العمل، ما لم يكن ذلك الإبراء أو المصالحة أكثر فائدة للعامل. (المادة الثامنة),المادة الثامنة ,يبطل كل شرط يخالف أحكام هذا النظام، ويبطل كل إبراء أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل.,0.7,0.8076923076923077,0.84,28,29
الثامنة,ما هو المعيار الذي يجعل المصالحة عن حقوق العامل أثناء سريان العقد صحيحة؟,المعيار هو أن تكون المصالحة أو الإبراء أكثر فائدة للعامل. (المادة الثامنة),المادة الثامنة ,يبطل كل شرط يخالف أحكام هذا النظام، ويبطل كل إبراء أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل.,0.12121212121212122,0.3333333333333333,0.16,12,29
التاسعة,ما هي اللغة الواجبة الاستعمال في عقود العمل والبيانات الرسمية داخل المنشأة؟,اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل والتعليمات الصادرة للعمال. (المادة التاسعة),المادة التاسعة ,اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها صاحب العمل لعماله. وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.,0.22,0.6875,0.24444444444444444,16,55
التاسعة,في حال استخدام لغة أجنبية إلى جانب العربية في عقد العمل، أي النصين هو المعتمد قانونياً؟,النص العربي هو المعتمد دون غيره. (المادة التاسعة),المادة التاسعة ,اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها صاحب العمل لعماله. وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.,0.1276595744680851,0.75,0.13333333333333333,8,55
التاسعة,هل التعليمات التي يصدرها صاحب العمل لعماله يجب أن تكون باللغة العربية؟,نعم، التعليمات التي يصدرها صاحب العمل لعماله هي مما يجب استعمال اللغة العربية فيه. (المادة التاسعة),المادة التاسعة ,اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها صاحب العمل لعماله. وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.,0.19607843137254902,0.625,0.2222222222222222,16,55
العاشرة,ما هو التقويم المعتمد لحساب جميع المدد والمواعيد المنصوص عليها في نظام العمل؟,تحسب جميع المدد والمواعيد المنصوص عليها في هذا النظام بالتقويم الهجري. (المادة العاشرة),المادة العاشرة ,تحسب جميع المدد والمواعيد المنصوص عليها في هذا النظام بالتقويم الهجري، ما لم ينص في عقد العمل أو لائحة تنظيم العمل على خلاف ذلك.,0.4583333333333333,0.8461538461538461,0.5,13,24
العاشرة,متى يجوز حساب المدد والمواعيد بتقويم غير هجري؟,يجوز حساب المدد بغير التقويم الهجري إذا نص في عقد العمل أو لائحة تنظيم العمل على خلاف ذلك. (المادة العاشرة),المادة العاشرة ,تحسب جميع المدد والمواعيد المنصوص عليها في هذا النظام بالتقويم الهجري، ما لم ينص في عقد العمل أو لائحة تنظيم العمل على خلاف ذلك.,0.36666666666666664,0.5789473684210527,0.5,20,24
العاشرة,ما هو الاستثناء الوحيد من قاعدة احتساب المدد بالتقويم الهجري؟,الاستثناء هو النص في عقد العمل أو لائحة تنظيم العمل على استخدام تقويم آخر. (المادة العاشرة),المادة العاشرة ,تحسب جميع المدد والمواعيد المنصوص عليها في هذا النظام بالتقويم الهجري، ما لم ينص في عقد العمل أو لائحة تنظيم العمل على خلاف ذلك.,0.23333333333333334,0.4666666666666667,0.3181818181818182,16,24
الحادية عشرة,في حال عهد صاحب العمل لأي شخص (طبيعي أو معنوي) القيام بجزء من أعماله الأصلية، ما هو واجب ذلك الشخص تجاه عماله؟,وجب على ذلك الشخص أن يعطي عماله جميع الحقوق والمزايا التي يعطيها صاحب العمل الأصلي لعماله. (المادة الحادية عشرة),المادة الحادية عشرة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""إذا عهد صاحب العمل لأي شخص طبيعي أو معنوي القيام بعمل من أعماله الأصلية، أو جزء منها؛ وجب على الأخير أن يعطي عماله جميع الحقوق والمزايا التي يعطيها صاحب العمل الأصلي لعماله"".",0.28846153846153844,0.7894736842105263,0.3125,19,51
الحادية عشرة,ما هو نوع العمل الذي ينطبق عليه حكم تضامن الحقوق والمزايا في هذه المادة؟,ينطبق على العمل الذي يمثل عملاً أصلياً من أعمال صاحب العمل الأصلي. (المادة الحادية عشرة),المادة الحادية عشرة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""إذا عهد صاحب العمل لأي شخص طبيعي أو معنوي القيام بعمل من أعماله الأصلية، أو جزء منها؛ وجب على الأخير أن يعطي عماله جميع الحقوق والمزايا التي يعطيها صاحب العمل الأصلي لعماله"".",0.10714285714285714,0.42857142857142855,0.125,15,51
الحادية عشرة,هل يجب على المقاول الفرعي أن يمنح عماله نفس المزايا التي يقدمها صاحب العمل الأصلي؟,نعم، يجب على المقاول الفرعي (الشخص المعهود إليه العمل) أن يعطي عماله جميع الحقوق والمزايا التي يعطيها صاحب العمل الأصلي لعماله. (المادة الحادية عشرة),المادة الحادية عشرة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""إذا عهد صاحب العمل لأي شخص طبيعي أو معنوي القيام بعمل من أعماله الأصلية، أو جزء منها؛ وجب على الأخير أن يعطي عماله جميع الحقوق والمزايا التي يعطيها صاحب العمل الأصلي لعماله"".",0.24561403508771928,0.6086956521739131,0.2916666666666667,24,51
الثانية عشرة,ما هو دور الوزارة (وزارة الموارد البشرية والتنمية الاجتماعية) بخصوص لائحة تنظيم العمل؟,تضع الوزارة نموذجًا موحدًا - أو أكثر - للائحة تنظيم العمل، شاملًا لقواعد تنظيم العمل والأحكام المتعلقة بالميزات والمخالفات والجزاءات التأديبية، كما تضع ضوابط وآليات اعتماد هذه اللوائح. (المادة الثانية عشرة),المادة الثانية عشرة ,"تم تعديل أحكام المواد (الثانية عشرة) و(الثالثة عشرة) و(الرابعة عشرة)؛ وإعادة صياغتها بعد تعديل أحكامها لتكون في مادتين بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ على النحو الآتي ""المادة الثانية عشرة 1 - تضع الوزارة نموذجاً موحداً - أو أكثر - للائحة تنظيم العمل، على أن يكون شاملاً لقواعد تنظيم العمل وما يتصل به من أحكام، بما في ذلك الأحكام المتعلقة بالميزات والأحكام الخاصة بالمخالفات والجزاءات التأديبية. 2 - تضع الوزارة ضوابط وآليات اعتماد لوائح تنظيم العمل"". ""المادة الثالثة عشرة 1 - يلتزم كل صاحب عمل بإعداد لائحة لتنظيم العمل في منشأته وفق النموذج المعد من الوزارة، ويجوز للوزير الاستثناء من ذلك. 2 - يجوز لصاحب العمل تضمين اللائحة شروطاً وأحكاماً إضافية، بما لا يتعارض مع أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له. 3 - يجب على صاحب العمل أن يعلن لائحة تنظيم العمل وأي تعديل يطرأ عليها في مكان ظاهر في المنشأة أو أي وسيلة أخرى تكفل علم الخاضعين لها بأحكامها"".",0.15833333333333333,0.7307692307692307,0.168141592920354,29,154
الثانية عشرة,ما هي العناصر الأساسية التي يجب أن يشملها النموذج الموحد للائحة تنظيم العمل؟,يجب أن يشمل قواعد تنظيم العمل وما يتصل به من أحكام، بما في ذلك الأحكام المتعلقة بالميزات و الأحكام الخاصة بالمخالفات والجزاءات التأديبية. (المادة الثانية عشرة),المادة الثانية عشرة ,"تم تعديل أحكام المواد (الثانية عشرة) و(الثالثة عشرة) و(الرابعة عشرة)؛ وإعادة صياغتها بعد تعديل أحكامها لتكون في مادتين بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ على النحو الآتي ""المادة الثانية عشرة 1 - تضع الوزارة نموذجاً موحداً - أو أكثر - للائحة تنظيم العمل، على أن يكون شاملاً لقواعد تنظيم العمل وما يتصل به من أحكام، بما في ذلك الأحكام المتعلقة بالميزات والأحكام الخاصة بالمخالفات والجزاءات التأديبية. 2 - تضع الوزارة ضوابط وآليات اعتماد لوائح تنظيم العمل"". ""المادة الثالثة عشرة 1 - يلتزم كل صاحب عمل بإعداد لائحة لتنظيم العمل في منشأته وفق النموذج المعد من الوزارة، ويجوز للوزير الاستثناء من ذلك. 2 - يجوز لصاحب العمل تضمين اللائحة شروطاً وأحكاماً إضافية، بما لا يتعارض مع أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له. 3 - يجب على صاحب العمل أن يعلن لائحة تنظيم العمل وأي تعديل يطرأ عليها في مكان ظاهر في المنشأة أو أي وسيلة أخرى تكفل علم الخاضعين لها بأحكامها"".",0.2,0.92,0.20353982300884957,26,154
الثانية عشرة,من هي الجهة المسؤولة عن وضع ضوابط وآليات اعتماد لوائح تنظيم العمل؟,الوزارة هي المسؤولة عن وضع ضوابط وآليات اعتماد لوائح تنظيم العمل. (المادة الثانية عشرة),المادة الثانية عشرة ,"تم تعديل أحكام المواد (الثانية عشرة) و(الثالثة عشرة) و(الرابعة عشرة)؛ وإعادة صياغتها بعد تعديل أحكامها لتكون في مادتين بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ على النحو الآتي ""المادة الثانية عشرة 1 - تضع الوزارة نموذجاً موحداً - أو أكثر - للائحة تنظيم العمل، على أن يكون شاملاً لقواعد تنظيم العمل وما يتصل به من أحكام، بما في ذلك الأحكام المتعلقة بالميزات والأحكام الخاصة بالمخالفات والجزاءات التأديبية. 2 - تضع الوزارة ضوابط وآليات اعتماد لوائح تنظيم العمل"". ""المادة الثالثة عشرة 1 - يلتزم كل صاحب عمل بإعداد لائحة لتنظيم العمل في منشأته وفق النموذج المعد من الوزارة، ويجوز للوزير الاستثناء من ذلك. 2 - يجوز لصاحب العمل تضمين اللائحة شروطاً وأحكاماً إضافية، بما لا يتعارض مع أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له. 3 - يجب على صاحب العمل أن يعلن لائحة تنظيم العمل وأي تعديل يطرأ عليها في مكان ظاهر في المنشأة أو أي وسيلة أخرى تكفل علم الخاضعين لها بأحكامها"".",0.08547008547008547,0.7142857142857143,0.08849557522123894,14,154
