question,top_retrieved_chunk,top_2_retrieved_chunk,top_3_retrieved_chunk,question_norm,Question,Answer,Source,Topic,Jaccard_top1,Coverage_top1_AnsInChunk,Coverage_top1_ChunkInAns,Jaccard_top2,Coverage_top2_AnsInChunk,Coverage_top2_ChunkInAns,Jaccard_top3,Coverage_top3_AnsInChunk,Coverage_top3_ChunkInAns,Best_Jaccard,Best_Coverage_AnsInChunk,Baseline_Correctness_auto
ما هو حكم المنافسة بعد انتهاء العقد؟,المادة الرابعة والثلاثون بعد المائة : تعد الإصابة إصابة عمل وفق ما هو منصوص عليه في نظام التأمينات الاجتماعية، وتعد الأمراض المهنية في حكم إصابات العمل، كما يعد تاريخ أول مشاهدة طبية للمرض في حكم تاريخ الإصابة.,المادة الخامسة والثلاثون بعد المائة : تعد في حكم الإصابة حالة الانتكاس أو أي مضاعفة تنشأ عنها، ويسري عليها بالنسبة للمعونة والعلاج ما يسري على الإصابة الأصلية.,المادة الثامنة والثمانون : إذا انتهت خدمة العامل وجب على صاحب العمل دفع أجره وتصفية حقوقه خلال أسبوع- على الأكثر- من تاريخ انتهاء العلاقة العقدية، أما إذا كان العامل هو الذي أنهى العقد وجب على صاحب العمل تصفية حقوقه كاملة خلال مدة لا تزيد على أسبوعين. ولصاحب العمل أن يحسم أي دين مستحق له بسبب العمل من المبالغ المستحقة للعامل.,ما هو حكم المنافسة بعد انتهاء العقد؟,ما هو حكم المنافسة بعد انتهاء العقد؟,يجوز الاتفاق على شرط عدم المنافسة لمدة محددة (لا تزيد عن سنتين) وفي مكان ونوع عمل محددين، لحماية أسرار العمل.,boe_qa.csv,عدم المنافسة,0.04081632653061224,0.06451612903225806,0.1,0.022727272727272728,0.04,0.05,0.06451612903225806,0.08695652173913043,0.2,0.06451612903225806,0.08695652173913043,0
كم المدة المسموحة لرفع دعوى عمالية؟,"المادة الرابعة والأربعون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي "" يجب أن يشتمل برنامج التدريب على المهارة التي يتدرب العامل عليها والقواعد والشروط التي تتبع في التدريب، وعلى مدته وعدد ساعاته والبرامج التدريبية النظرية والعملية، وطريقة الاختبار والشهادات التي تمنح في هذا الشأن. وتحدد اللائحة المعايير والقواعد العامة التي ينبغي اتباعها بهذا الخصوص لرفع مستوى أداء العامل من حيث المهارة والإنتاجية "".","المادة السابعة والسبعون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""ما لم يتضمن العقد تعويضاً محدداً مقابل إنهائه من أحد الطرفين لسبب غير مشروع، يستحق الطرف المتضرر من إنهاء العقد تعويضاً على النحو الآتي 1 - أجر خمسة عشر يوماً عن كل سنة من سنوات خدمة العامل، إذا كان العقد غير محدد المدة. 2 - أجر المدة الباقية من العقد إذا كان العقد محدد المدة. 3 - يجب ألا يقل التعويض المشار إليه في الفقرتين (1) و(2) من هذه المادة عن أجر العامل لمدة شهرين"".","المادة الخامسة والخمسون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""1 - ينتهي عقد العمل المحدد المدة بانقضاء مدته، فإذا استمر طرفاه في تنفيذ عُدَّ العقدُ مجدداً لمدة غير محددة. مع مراعاة ما نصت عليه المادة (السابعة والثلاثون) من هذا النظام بالنسبة إلى غير السعوديين. 2 - إذا تضمن العقد المحدد المدة شرطاً يقضي بتجديده لمدة مماثلة أو لمدة محددة، فإنه يتجدد للمدة المتفق عليها. فإن تعدد التجديد ثلاث مرات متتالية، أو بلغت مدة العقد الأصلي مع مدة التجديد أربع سنوات أيهما أقل واستمر الطرفان في تنفيذه؛ تحوّل العقد إلى عقد غير محدد المدة"".",كم المدة المسموحة لرفع دعوى عمالية؟,كم المدة المسموحة لرفع دعوى عمالية؟,يجب رفع الدعوى خلال 12 شهراً من تاريخ انتهاء علاقة العمل، وإلا سقط الحق في المطالبة (التقادم)، ما لم يكن هناك عذر أو إقرار بالحق.,boe_qa.csv,المنازعات,0.053763440860215055,0.0684931506849315,0.2,0.05555555555555555,0.07142857142857142,0.2,0.047619047619047616,0.058823529411764705,0.2,0.05555555555555555,0.07142857142857142,0
كيف تتم تسوية مخالفات العمل؟,"المادة الثالثة والثلاثون بعد المائتين: - أُضيفت هذه المادة وذلك بموجب المرسوم الملكي رقم (م/46) وتاريخ 1436/6/5هـ، لتكون بالنص الآتي "" للوزير منح مكافأة مالية لا تزيد على 25% من مبلغ الغرامة المحصلة لمن يساعد - من موظفي التفتيش أو من غيرهم - في الكشف عن أيّ من مخالفات أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له.""","المادة السادسة والتسعون بعد المائة : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" يختص مفتشو العمل بما يأتي 1 - مراقبة تنفيذ أحكام هذا النظام واللائحة والقرارات الصادرة تنفيذاً له. 2 - تزويد أصحاب العمل والعمال بالمعلومات والإرشادات الفنية التي تمكنهم من اتباع أحسن الوسائل لتنفيذ أحكام هذا النظام. 3 - إبلاغ الجهات المختصة بأوجه النقص التي تقصر الأحكام القائمة من معالجتها، واقتراح ما يلزم لذلك. 4 - ضبط مخالفات أحكام هذا النظام واللائحة والقرارات الصادرة تنفيذاً له. 5 - التحقق من المخالفات التي تضبطها جهات حكومية مختصة أخرى وتحال إلى الوزارة. 6 - اقتراح الغرامة المناسبة وفقاً لجدول المخالفات والعقوبات"".","المادة الحادية والخمسون بعد المائة : تم تعديل أحكام المادتين (الحادية والخمسين بعد المائة) و(الثانية والخمسين بعد المائة)؛ وإعادة صياغتهما بعد تعديل أحكامهما لتكون في مادة واحدة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ بالنص الآتي ""المادة الحادية والخمسون بعد المائة 1 - للمرأة العاملة الحق في إجازة وضع بأجر كامل لمدة عشرة أسابيع توزعها كيف تشاء؛ تبدأ بحدٍّ أقصى بأربعة أسابيع قبل التاريخ المرجح للوضع، ويحدد التاريخ المرجح للوضع بموجب شهادة طبية مصدقة من جهة صحية. 2 - يحظر تشغيل المرأة بعد الوضع بأي حال من الأحوال خلال الستة أسابيع التالية له، ولها الحق في تمديد الإجازة مدة شهر دون أجر. 3 - للمرأة العاملة - في حالة إنجاب طفل مريض أو من ذوي الاحتياجات الخاصة وتتطلب حالته الصحية مرافقاً مستمراً له - الحق في إجازة مدتها شهر بأجر كامل تبدأ بعد انتهاء مدة إجازة الوضع، ولها الحق في تمديد الإجازة لمدة شهر دون أجر"".",كيف تتم تسوية مخالفات العمل؟,كيف تتم تسوية مخالفات العمل؟,يمكن عرض التسوية على المخالف مقابل تخفيض الغرامة بنسبة معينة قبل رفع الدعوى.,istitlaa_qa.csv,المخالفات,0.031746031746031744,0.038461538461538464,0.15384615384615385,0.01020408163265306,0.011627906976744186,0.07692307692307693,0.009174311926605505,0.010309278350515464,0.07692307692307693,0.031746031746031744,0.038461538461538464,0
هل يجب أن يكون عقد الموظف غير السعودي مكتوب باللغة العربية؟,"المادة السابعة والثلاثون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي ""يجب أن يكون عقد عمل غير السعودي مكتوباً ومحدد المدة. وإذا خلا العقد من بيان مدته تعد مدته (سنة) من تاريخ مباشرة العامل الفعلية، وإذا استمر العمل بعد انتهاء هذه المدة، عُدَّ متجدداً لمدة مماثلة"".",المادة السادسة والثلاثون : على الوزير أن يحدد بقرار منه المهن والأعمال التي يحظر على غير السعودي الاشتغال بها.,المادة الثالثة والثلاثون : لا يجوز لغير السعودي أن يمارس عملًا، ولا يجوز أن يسمح له بمزاولته، إلا بعد الحصول على رخصة عمل من الوزارة وفق النموذج الذي تعده لهذا الغرض. ويشترط لمنح الرخصة ما يأتي 1 - أن يكون العامل قد دخل البلاد بطريقة مشروعة ومصرحًا له بالعمل. 2 - أن يكون من ذوي الكفايات المهنية أو المؤهلات الدراسية التي تحتاج إليها البلاد، ولا يوجد من أبناء البلاد من يحملها أو كان العدد الموجود منهم لا يفي بالحاجة، أو يكون من فئة العمال العاديين التي تحتاج إليها البلاد. 3 - أن يكون متعاقدًا مع صاحب عمل وتحت مسؤوليته. ويقصد بكلمة (العمل) في هذه المادة كل عمل صناعي أو تجاري أو زراعي أو مالي أو غيره وأي خدمة بما في ذلك الخدمة المنزلية.,هل يجب أن يكون عقد الموظف غير السعودي مكتوب باللغة العربية؟,هل يجب أن يكون عقد الموظف غير السعودي مكتوب باللغة العربية؟,نعم، يجب أن يكتب باللغة العربية ولا يمنع إضافة اللغة الإنجليزية للعقد,labor_law_faq_cleaned.csv,لغة العقد,0.028985507246376812,0.03389830508474576,0.16666666666666666,0.03571428571428571,0.058823529411764705,0.08333333333333333,0.02040816326530612,0.022727272727272728,0.16666666666666666,0.03571428571428571,0.058823529411764705,0
هل العمولة تعتبر جزءاً من الأجر؟,المادة السادسة والستون : الجزاءات التأديبية التي يجوز لصاحب العمل توقيعها على العامل 1 - الإنذار. 2 - الغرامة. 3 - الحرمان من العلاوة أو تأجيلها لمدة لا تزيد على سنة متى كانت مقررة من صاحب العمل. 4 - تأجيل الترقية مدة لا تزيد على سنة متى كانت مقررة من صاحب العمل. 5 - الإيقاف عن العمل مع الحرمان من الأجر. 6- الفصل من العمل في الحالات المقررة في النظام.,"المادة الرابعة والتسعون بعد المائة : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""يتولى تفتيش العمل مفتشون من موظفي الوزارة، أو من غيرهم من السعوديين، يحددهم الوزير أو من يفوضه، وتكون لهم الصلاحيات والاختصاصات المنصوص عليها في هذا النظام"".","المادة الرابعة والثلاثون بعد المائتين : تم تعديل أحكام المواد (التاسعة والعشرين بعد المائتين)، و(الثلاثين بعد المائتين)، و(الحادية والثلاثين بعد المائتين)، و(الثانية والثلاثين بعد المائتين)، و(الثالثة والثلاثين بعد المائتين)، و(الرابعة والثلاثين بعد المائتين)، و(الخامسة والثلاثين بعد المائتين)، و(السادسة والثلاثين بعد المائتين)، و(السابعة والثلاثين بعد المائتين)، و(السادسة والثلاثين بعد المائتين)، و(السابعة والثلاثين بعد المائتين)، و(الثامنة والثلاثين بعد المائتين)، و(التاسعة والثلاثين بعد المائتين)، و(الحادية والأربعين بعد المائتين)؛ وإعادة صياغة هذه المواد بعد تعديل أحكامها لتكون في مادتين بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ على النحو الآتي ""المادة التاسعة والعشرون بعد المائتين 1 - مع عدم الإخلال بأي عقوبة أشد ينص عليها نظام آخر، يعاقب كل من يخل بأي حكم من أحكام هذا النظام أو لائحته أو القرارات الصادرة تنفيذا له، بعقوبة أو أكثر من العقوبات الآتية أ - غرامة مالية لا تتجاوز مائة ألف ريـال. ب - إغلاق المنشأة لمدة لا تزيد على ثلاثين يوماً. ج - إغلاق المنشأة نهائيًّا. 2 - يجوز مضاعفة العقوبة الموقعة على المخالف في حال تكرار ارتكاب لمخالفة. 3 - تتعدد الغرامات بتعدد الأشخاص الذين وقعت المخالفة في شأنهم"". "" المادة الثلاثون بعد المائتين 1 - للوزارة – بقرار من الوزير أو من ينيبه – إيقاع العقوبتين أو إحداهما المنصوص عليهما في الفقرتين الفرعيتين (أ) و(ب) من الفقرة (1) من المادة (التاسعة والعشرين بعد المائتين) من هذا النظام، بما لا يتجاوز نصف الحد الأعلى المقرر لأي منهما، ويجوز التظلم من القرار الصادر بالعقوبة أمام المحكمة الإدارية المختصة. 2 - يصدر – بقرار من الوزير – جدول تُحدد فيه المخالفات والعقوبات المقابلة لها التي لا تتجاوز نصف الحد الأعلى للعقوبتين الواردتين في الفقرتين الفرعيتين (أ) و(ب) من الفقرة (1) من المادة (التاسعة والعشرين بعد المائتين) من هذا النظام، ويراعى في ذلك التدرج في تحديد مقدارها وتناسبها مع جسامة المخالفة. 3 - يصدر – بقرار من الوزير – جدول تحدد فيه المخالفات التي تتجاوز عقوباتها نصف الحد الأعلى للعقوبتين الواردتين في الفقرتين الفرعيتين (أ) و(ب) من الفقرة (1) من المادة (التاسعة والعشرين بعد المائتين) من هذا النظام، وتحدد فيه كذلك المخالفات التي تكون عقوبتها العقوبة الواردة في الفقرة الفرعية (ج) من الفقرة (1) من المادة المذكورة. 4 - إذا كانت المخالفة تستوجب عقوبة تزيد على نصف الحد الأعلى المقرر لها، أو كانت من المخالفات التي تستوجب عقوبة الإغلاق النهائي للمنشأة وفقاً للجدول المنصوص عليه في الفقرة (3) من هذه المادة؛ فترفع الوزارة دعوى أمام المحكمة المختصة للنظر فيها وإيقاع العقوبة المناسبة المنصوص عليها في المادة (التاسعة والعشرين بعد المائتين) من هذا النظام. 5 - يجوز الاتفاق بين الوزارة والمخالف على تسوية المخالفة، وذلك بدفع مبلغ الغرامة الذي تقدره الوزارة، على أن يصدر بهذه التسوية قرار من الوزير"".",هل العمولة تعتبر جزءاً من الأجر؟,هل العمولة تعتبر جزءاً من الأجر؟,نعم، العمولة والنسبة المئوية من المبيعات تعتبر جزءاً من الأجر الفعلي.,qiwa_qa.csv,الأجور,0.03773584905660377,0.044444444444444446,0.2,0.018518518518518517,0.022222222222222223,0.1,0.004807692307692308,0.005025125628140704,0.1,0.03773584905660377,0.044444444444444446,0
ما هي وثيقة العمل الحر؟,المادة التاسعة : اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها صاحب العمل لعماله. وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.,المادة الحادية والتسعون : 1- إذا تسبب عامل في فقد أو إتلاف أو تدمير آلات أو منتجات يملكها صاحب العمل أو هي في عهدته وكان ذلك ناشئًا عن خطأ العامل أو مخالفته تعليمات صاحب العمل ولم يكن نتيجة لخطأ الغير أو ناشئًا عن قوة قاهرة، فلصاحب العمل أن يقتطع من أجر العامل المبلغ اللازم للإصلاح أو لإعادة الوضع إلى ما كان عليه على ألا يزيد ما يقتطع لهذا الغرض على أجر خمسة أيام في كل شهر، ولصاحب العمل الحق في التظلم عند الاقتضاء، وذلك بطلب ما هو أكثر من ذلك إذا كان للعامل مال آخر يمكن الاستيفاء منه، وللعامل أن يتظلم مما نسب إليه أو من تقدير صاحب العمل للتعويض أمام هيئة تسوية الخلافات العمالية، فإذا حكمت بعدم أحقية صاحب العمل في الرجوع على العامل بما اقتطعه منه أو حكمت بأقل منه وجب على صاحب العمل أن يرد إلى العامل ما اقتطع منه دون وجه حق خلال سبعة أيام من تاريخ صدور الحكم. 2 - يكون تظلم أي من الطرفين خلال خمسة عشر يوم عمل، وإلا سقط الحق فيه، ويبدأ موعد التظلم بالنسبة إلى صاحب العمل من تاريخ اكتشاف الواقعة، وبالنسبة إلى العامل من تاريخ إبلاغ صاحب العمل له بذلك.,المادة العاشرة : تحسب جميع المدد والمواعيد المنصوص عليها في هذا النظام بالتقويم الهجري، ما لم ينص في عقد العمل أو لائحة تنظيم العمل على خلاف ذلك.,ما هي وثيقة العمل الحر؟,ما هي وثيقة العمل الحر؟,وثيقة تمنح للأفراد لممارسة أعمال حرة، وقد ترتبط ببعض استثناءات العمل لبعض الوقت.,istitlaa_qa.csv,العمل الحر,0.01694915254237288,0.02127659574468085,0.07692307692307693,0.007407407407407408,0.008130081300813009,0.07692307692307693,0.027777777777777776,0.041666666666666664,0.07692307692307693,0.027777777777777776,0.041666666666666664,0
ما هي واجبات العامل تجاه السلامة؟,المادة الثانية والسبعون بعد المائة : يجب أن تعلن في السفينة وفي القسم المخصص للعاملين فيها قواعد العمل على ظهرها وشروطه، ويجب أن تتضمن القواعد والشروط ما يأتي 1 - التزامات البحارة وواجباتهم وقواعد تنظيم العمل على ظهر السفينة والجداول الزمنية للخدمة، وساعات العمل اليومية. 2 - واجبات مجهز السفينة تجاه البحارة، من حيث الأجور الثابتة والمكافآت، وغير ذلك من أنواع الأجر. 3 - كيفية تعليق دفع الأجور أو الحسم منها، وكيفية دفع السلف على الأجور. 4 - مكان تصفية الأجور وزمانها، وحسابها النهائي. 5 - قواعد تقديم الغذاء والمبيت وأصولها على ظهر السفينة. 6 - علاج أمراض البحارة وإصاباتهم. 7 - سلوك البحارة وشروط ترحيلهم إلي بلدهم . 8 - إجازات البحارة السنوية المدفوعة الأجر. 9 - مكافأة نهاية الخدمة وغير ذلك من التعويضات التي ستدفع بمناسبة إنهاء عقد العمل أو انتهائه.,المادة الحادية والتسعون : 1- إذا تسبب عامل في فقد أو إتلاف أو تدمير آلات أو منتجات يملكها صاحب العمل أو هي في عهدته وكان ذلك ناشئًا عن خطأ العامل أو مخالفته تعليمات صاحب العمل ولم يكن نتيجة لخطأ الغير أو ناشئًا عن قوة قاهرة، فلصاحب العمل أن يقتطع من أجر العامل المبلغ اللازم للإصلاح أو لإعادة الوضع إلى ما كان عليه على ألا يزيد ما يقتطع لهذا الغرض على أجر خمسة أيام في كل شهر، ولصاحب العمل الحق في التظلم عند الاقتضاء، وذلك بطلب ما هو أكثر من ذلك إذا كان للعامل مال آخر يمكن الاستيفاء منه، وللعامل أن يتظلم مما نسب إليه أو من تقدير صاحب العمل للتعويض أمام هيئة تسوية الخلافات العمالية، فإذا حكمت بعدم أحقية صاحب العمل في الرجوع على العامل بما اقتطعه منه أو حكمت بأقل منه وجب على صاحب العمل أن يرد إلى العامل ما اقتطع منه دون وجه حق خلال سبعة أيام من تاريخ صدور الحكم. 2 - يكون تظلم أي من الطرفين خلال خمسة عشر يوم عمل، وإلا سقط الحق فيه، ويبدأ موعد التظلم بالنسبة إلى صاحب العمل من تاريخ اكتشاف الواقعة، وبالنسبة إلى العامل من تاريخ إبلاغ صاحب العمل له بذلك.,المادة التاسعة : اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها صاحب العمل لعماله. وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.,ما هي واجبات العامل تجاه السلامة؟,ما هي واجبات العامل تجاه السلامة؟,يجب عليه استخدام أدوات الوقاية، والمحافظة عليها، وتنفيذ تعليمات السلامة، وعدم تعطيل أجهزة الحماية.,boe_qa.csv,السلامة المهنية,0.009174311926605505,0.010416666666666666,0.07142857142857142,0.014814814814814815,0.016260162601626018,0.14285714285714285,0.016666666666666666,0.02127659574468085,0.07142857142857142,0.016666666666666666,0.02127659574468085,0
هل يتحمل المتدرب تكاليف التدريب وفق المادة 15؟,"المادة الثامنة والأربعون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""1 - لصاحب العمل أن ينهي عقد التأهيل أو التدريب إذا ثبت له عدم قابلية أو قدرة المتدرب أو الخاضع للتأهيل على إكمال برامج التدريب أو التأهيل بصورة مفيدة، وللمتدرب أو الخاضع للتأهيل أو وليه أو وصيه مثل هذا الحق. وعلى الطرف الذي يرغب في إنهاء العقد إبلاغ الطرف الآخر بذلك قبل أسبوع على الأقل من تاريخ التوقف عن التدريب أو التأهيل. 2 - لصاحب العمل - بعد إكمال مدة التدريب أو التأهيل - أن يلزم المتدرب أو الخاضع للتأهيل بأن يعمل لديه مدة مماثلة لمدة التدريب أو التأهيل، فإن رفض أو امتنع المتدرب أو الخاضع للتأهيل عن العمل المدة المماثلة أو بعضها؛ وجب عليه أن يدفع لصاحب العمل تكاليف التدريب أو التأهيل التي تحملها صاحب العمل أو بنسبة المدة الباقية منها"".","المادة السابعة والأربعون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي "" للوزير أن يلزم المنشآت بقبول عدد أو تنسبة محددة من طلاب الجامعات والكليات والمعاهد والمراكز وخريجيها؛ بغية التدريب واستكمال الخبرة العملية، وفق الشروط والأوضاع والمدد التي تحددها اللائحة، على أن يُبرم عقد تدريب بين المتدرب وصاحب العمل تطبق في شأنه الأحكام الواردة في هذا الفصل. وللمنشأة أن تقدم مكافأة للمتدرب "".","المادة السادسة والأربعون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي "" يجب أن يكون عقد التأهيل أو التدريب مكتوباً، وأن يحدد فيه نوع المهنة المتعاقد للتدريب عليها، ومقدار المكافأة التي تعطى للمتدرب في كل مرحلة، على ألا يكون تحديدها على أساس القطعة أو الإنتاج، ويجب أن تُبيَّن في العقد حقوق المتدرب وصاحب العمل وواجباتهما، وما إذا كان التأهيل أو التدريب في منشأة تتبع صاحب العمل أو لدى منشأة أخرى "".",هل يتحمل المتدرب تكاليف التدريب وفق المادة 15؟,هل يتحمل المتدرب تكاليف التدريب وفق المادة 15؟,لا، يحظر تحميل المتدرب أي نفقات متعلقة بالتدريب.,istitlaa_qa.csv,التدريب,0.010101010101010102,0.010869565217391304,0.125,0.012048192771084338,0.013157894736842105,0.125,0.012048192771084338,0.013157894736842105,0.125,0.012048192771084338,0.013157894736842105,0
ما هو سجل الدخول للمنجم؟,المادة الرابعة والثلاثون بعد المائة : تعد الإصابة إصابة عمل وفق ما هو منصوص عليه في نظام التأمينات الاجتماعية، وتعد الأمراض المهنية في حكم إصابات العمل، كما يعد تاريخ أول مشاهدة طبية للمرض في حكم تاريخ الإصابة.,المادة التاسعة : اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها صاحب العمل لعماله. وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.,المادة الخمسون : عقد العمل هو عقد مبرم بين صاحب عمل وعامل، يتعهد الأخير بموجبه أن يعمل تحت إدارة صاحب العمل أو إشرافه مقابل أجر.,ما هو سجل الدخول للمنجم؟,ما هو سجل الدخول للمنجم؟,سجل خاص لحصر العمال قبل دخولهم وعند خروجهم لضمان عدم بقاء أحد بالداخل.,qiwa_qa.csv,المناجم,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
لدى منشأة عليها إعفاء من المقابل المالي وأريد نقل ملكيتها هل يستمر الإعفاء ؟,"المادة السادسة والأربعون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي "" يجب أن يكون عقد التأهيل أو التدريب مكتوباً، وأن يحدد فيه نوع المهنة المتعاقد للتدريب عليها، ومقدار المكافأة التي تعطى للمتدرب في كل مرحلة، على ألا يكون تحديدها على أساس القطعة أو الإنتاج، ويجب أن تُبيَّن في العقد حقوق المتدرب وصاحب العمل وواجباتهما، وما إذا كان التأهيل أو التدريب في منشأة تتبع صاحب العمل أو لدى منشأة أخرى "".",المادة السابعة والتسعون : إذا جرى توقيف العامل أو احتجازه لدى الجهات المختصة في قضايا تتصل بالعمل أو بسببه فعلى صاحب العمل أن يستمر في دفع 50% من الأجر إلى العامل حتى يفصل في قضيته، على ألا تزيد مدة التوقيف أو الحجز على مائة وثمانين يومًا، فإذا زادت على ذلك فلا يلتزم صاحب العمل بدفع أي جزء من الأجر عن المدة الزائدة، فإذا قضي ببراءة العامل أو حفظ التحقيق لعدم ثبوت ما نسب إليه أو لعدم صحته، وجب على صاحب العمل أن يرد إلى العامل ما سبق حسمه من أجره، أما إذا قضي بإدانته فلا يستعاد منه ما صرف له ما لم ينص الحكم على خلاف ذلك.,المادة الثامنة عشرة بعد المائة : لا يجوز للعامل أثناء تمتعه بأي من إجازاته المنصوص عليها في هذا الفصل أن يعمل لدى صاحب عمل آخر، فإذا أثبت صاحب العمل أن العامل قد خالف ذلك فله أن يحرمه من أجره عن مدة الإجازة أو يسترد ما سبق أن أداه إليه من ذلك الأجر.,لدى منشأة عليها إعفاء من المقابل المالي وأريد نقل ملكيتها هل يستمر الإعفاء ؟,لدى منشأة عليها إعفاء من المقابل المالي وأريد نقل ملكيتها هل يستمر الإعفاء ؟,"لا ينتقل الإعفاء من المقابل المالي في حال نقل ملكية السجل التجاري وستكون المنشأة الجديدة عليها مقابل مالي (9,600 ريال) بسبب أن تاريخ إنشاء الملف سيكون بعد 25-8-1440",labor_law_faq_cleaned.csv,المقابل المالي,0.0594059405940594,0.07894736842105263,0.1935483870967742,0.02912621359223301,0.04,0.0967741935483871,0.08695652173913043,0.13636363636363635,0.1935483870967742,0.08695652173913043,0.13636363636363635,0
هل يجوز إلغاء ترخيص نشاط الاستقدام؟,المادة الرابعة والثلاثون : لا يغني عن رخصة العمل المشار إليها أي تصريح أو ترخيص يكون مطلوبًا من جهة أخرى لممارسة العمل أو المهنة.,"المادة الثلاثون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي ""1- لا يجوز لأي شخص طبيعي أو اعتباري أن يمارس نشاط توظيف السعوديين أو نشاط استقدام العمال أو نشاط الإسناد ما لم يكن مرخصاً له بذلك من الوزارة. وتحدد اللائحة ضوابط ممارسة كل من هذه الأنشطة، وشروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها. 2- تقترح الوزارة قيمة رسوم ممارسة الأنشطة المشار إليها في الفقرة (1) من هذه المادة، وأوجه صرفها، تمهيداً لاستكمال الإجراءات النظامية في هذا الشأن"".",المادة الخامسة بعد المائتين : يعد رئيس تفتيش العمل في مكتب العمل تقريرًا شهريًّا عن نشاط تفتيش العمل، ونواحي التفتيش، والمنشآت التي تم التفتيش عليها، وعدد المخالفات المرتكبة، ونوعها، والتدابير المتخذة بشأنها، كما يعد تقريرًا سنويًّا عن التفتيش في دائرة اختصاص مكتب العمل ونتائجه وآثاره، ويضمنه ملاحظاته ومقترحاته. وترسل نسخة من التقريرين إلى الوزارة.,هل يجوز إلغاء ترخيص نشاط الاستقدام؟,هل يجوز إلغاء ترخيص نشاط الاستقدام؟,نعم، تمنح التراخيص وتجدد وتلغى وفق أحكام النظام والضوابط المعتمدة.,istitlaa_qa.csv,الاستقدام,0.0,0.0,0.0,0.009259259259259259,0.010101010101010102,0.1,0.0,0.0,0.0,0.009259259259259259,0.010101010101010102,0
