المادة القانونية (م),السؤال,الإجابة,Article_label,Article,Text,Gold_Article,Gold_Text,Overlap_Jaccard,Coverage_Answer_in_Article,Coverage_Article_in_Answer,Answer_Length_Tokens,Article_Length_Tokens,Manual_Correctness,Manual_Grammar,Manual_Style,Relevance,Notes
الرابعة,هل يقتصر الالتزام بالشريعة الإسلامية على صاحب العمل فقط؟,لا، يجب على صاحب العمل والعامل معاً الالتزام بمقتضيات أحكام الشريعة الإسلامية.,الرابعة,المادة الرابعة ,يجب على صاحب العمل والعامل عند تطبيق أحكام هذا النظام الالتزام بمقتضيات أحكام الشريعة الإسلامية.,المادة الرابعة ,يجب على صاحب العمل والعامل عند تطبيق أحكام هذا النظام الالتزام بمقتضيات أحكام الشريعة الإسلامية.,0.625,0.8333333333333334,0.7142857142857143,12,15,,,,,
الرابعة,ما هي المرجعية التي يجب الالتزام بها عند تطبيق أحكام هذا النظام؟,الالتزام بمقتضيات أحكام الشريعة الإسلامية.,الرابعة,المادة الرابعة ,يجب على صاحب العمل والعامل عند تطبيق أحكام هذا النظام الالتزام بمقتضيات أحكام الشريعة الإسلامية.,المادة الرابعة ,يجب على صاحب العمل والعامل عند تطبيق أحكام هذا النظام الالتزام بمقتضيات أحكام الشريعة الإسلامية.,0.35714285714285715,1.0,0.35714285714285715,5,15,,,,,
الخامسة,اذكر ثلاث فئات تسري عليها أحكام هذا النظام؟,تسري على: 1- كل عقد عمل بمقابل أجر. 2- عمال الحكومة والهيئات والمؤسسات العامة. 3- عمال المؤسسات الخيرية.,الخامسة,المادة الخامسة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" تسري أحكام هذا النظام على الآتي 1 - كل عقد عمل يلتزم بمقتضاه أي شخص بالعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه؛ مقابل أجر. 2 - عمال الحكومة والهيئات والمؤسسات العامة، بمن فيهم الذين يشتغلون في المراعي أو الزراعة. 3 - عمال المؤسسات الخيرية. 4 - عقود التأهيل والتدريب مع غير العاملين لدى صاحب العمل في حدود الأحكام الخاصة المنصوص عليها في هذا النظام. 5 - العاملين بعض الوقت في حدود ما يتعلق بالسلامة والصحة المهنية وإصابات العمل وما يقرره الوزير"".",المادة الخامسة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" تسري أحكام هذا النظام على الآتي 1 - كل عقد عمل يلتزم بمقتضاه أي شخص بالعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه؛ مقابل أجر. 2 - عمال الحكومة والهيئات والمؤسسات العامة، بمن فيهم الذين يشتغلون في المراعي أو الزراعة. 3 - عمال المؤسسات الخيرية. 4 - عقود التأهيل والتدريب مع غير العاملين لدى صاحب العمل في حدود الأحكام الخاصة المنصوص عليها في هذا النظام. 5 - العاملين بعض الوقت في حدود ما يتعلق بالسلامة والصحة المهنية وإصابات العمل وما يقرره الوزير"".",0.1927710843373494,0.9411764705882353,0.1951219512195122,18,96,,,,,
الخامسة,هل تسري أحكام نظام العمل على عمال الحكومة الذين يشتغلون في المراعي أو الزراعة؟,نعم، تسري أحكام النظام عليهم، بمن فيهم الذين يشتغلون في المراعي أو الزراعة.,الخامسة,المادة الخامسة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" تسري أحكام هذا النظام على الآتي 1 - كل عقد عمل يلتزم بمقتضاه أي شخص بالعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه؛ مقابل أجر. 2 - عمال الحكومة والهيئات والمؤسسات العامة، بمن فيهم الذين يشتغلون في المراعي أو الزراعة. 3 - عمال المؤسسات الخيرية. 4 - عقود التأهيل والتدريب مع غير العاملين لدى صاحب العمل في حدود الأحكام الخاصة المنصوص عليها في هذا النظام. 5 - العاملين بعض الوقت في حدود ما يتعلق بالسلامة والصحة المهنية وإصابات العمل وما يقرره الوزير"".",المادة الخامسة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" تسري أحكام هذا النظام على الآتي 1 - كل عقد عمل يلتزم بمقتضاه أي شخص بالعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه؛ مقابل أجر. 2 - عمال الحكومة والهيئات والمؤسسات العامة، بمن فيهم الذين يشتغلون في المراعي أو الزراعة. 3 - عمال المؤسسات الخيرية. 4 - عقود التأهيل والتدريب مع غير العاملين لدى صاحب العمل في حدود الأحكام الخاصة المنصوص عليها في هذا النظام. 5 - العاملين بعض الوقت في حدود ما يتعلق بالسلامة والصحة المهنية وإصابات العمل وما يقرره الوزير"".",0.13095238095238096,0.8461538461538461,0.13414634146341464,13,96,,,,,
الخامسة,ما هي حدود سريان أحكام النظام على العاملين بعض الوقت؟,تسري عليهم في حدود ما يتعلق بالسلامة والصحة المهنية وإصابات العمل وما يقرره الوزير.,الخامسة,المادة الخامسة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" تسري أحكام هذا النظام على الآتي 1 - كل عقد عمل يلتزم بمقتضاه أي شخص بالعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه؛ مقابل أجر. 2 - عمال الحكومة والهيئات والمؤسسات العامة، بمن فيهم الذين يشتغلون في المراعي أو الزراعة. 3 - عمال المؤسسات الخيرية. 4 - عقود التأهيل والتدريب مع غير العاملين لدى صاحب العمل في حدود الأحكام الخاصة المنصوص عليها في هذا النظام. 5 - العاملين بعض الوقت في حدود ما يتعلق بالسلامة والصحة المهنية وإصابات العمل وما يقرره الوزير"".",المادة الخامسة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" تسري أحكام هذا النظام على الآتي 1 - كل عقد عمل يلتزم بمقتضاه أي شخص بالعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه؛ مقابل أجر. 2 - عمال الحكومة والهيئات والمؤسسات العامة، بمن فيهم الذين يشتغلون في المراعي أو الزراعة. 3 - عمال المؤسسات الخيرية. 4 - عقود التأهيل والتدريب مع غير العاملين لدى صاحب العمل في حدود الأحكام الخاصة المنصوص عليها في هذا النظام. 5 - العاملين بعض الوقت في حدود ما يتعلق بالسلامة والصحة المهنية وإصابات العمل وما يقرره الوزير"".",0.1566265060240964,0.9285714285714286,0.15853658536585366,14,96,,,,,
السادسة,ما هي الأحكام التي تسري على العامل العرضي والموسمي والمؤقت؟,تسري عليهم الأحكام الخاصة بالواجبات وقواعد التأديب، والحد الأقصى لساعات العمل وفترات الراحة، والعطلات الرسمية، وقواعد السلامة والصحة المهنية، وإصابات العمل والتعويض عنها.,السادسة,المادة السادسة ,تسري على العامل العرضي والموسمي والمؤقت الأحكام الخاصة بالواجبات وقواعد التأديب، والحد الأقصى لساعات العمل، وفترات الراحة اليومية والراحة الأسبوعية، والتشغيل الإضافي، والعطلات الرسمية، وقواعد السلامة، والصحة المهنية، وإصابات العمل والتعويض عنها، وما يقرره الوزير.,المادة السادسة ,تسري على العامل العرضي والموسمي والمؤقت الأحكام الخاصة بالواجبات وقواعد التأديب، والحد الأقصى لساعات العمل، وفترات الراحة اليومية والراحة الأسبوعية، والتشغيل الإضافي، والعطلات الرسمية، وقواعد السلامة، والصحة المهنية، وإصابات العمل والتعويض عنها، وما يقرره الوزير.,0.5882352941176471,0.9523809523809523,0.6060606060606061,23,35,,,,,
السادسة,هل تنطبق قواعد السلامة والصحة المهنية على العمال الموسميين؟,نعم، تسري عليهم قواعد السلامة والصحة المهنية، وإصابات العمل والتعويض عنها.,السادسة,المادة السادسة ,تسري على العامل العرضي والموسمي والمؤقت الأحكام الخاصة بالواجبات وقواعد التأديب، والحد الأقصى لساعات العمل، وفترات الراحة اليومية والراحة الأسبوعية، والتشغيل الإضافي، والعطلات الرسمية، وقواعد السلامة، والصحة المهنية، وإصابات العمل والتعويض عنها، وما يقرره الوزير.,المادة السادسة ,تسري على العامل العرضي والموسمي والمؤقت الأحكام الخاصة بالواجبات وقواعد التأديب، والحد الأقصى لساعات العمل، وفترات الراحة اليومية والراحة الأسبوعية، والتشغيل الإضافي، والعطلات الرسمية، وقواعد السلامة، والصحة المهنية، وإصابات العمل والتعويض عنها، وما يقرره الوزير.,0.2222222222222222,0.7272727272727273,0.24242424242424243,11,35,,,,,
السادسة,هل للعامل المؤقت حق في الراحة الأسبوعية؟,نعم، تسري عليه الأحكام الخاصة بفترات الراحة اليومية والراحة الأسبوعية.,السادسة,المادة السادسة ,تسري على العامل العرضي والموسمي والمؤقت الأحكام الخاصة بالواجبات وقواعد التأديب، والحد الأقصى لساعات العمل، وفترات الراحة اليومية والراحة الأسبوعية، والتشغيل الإضافي، والعطلات الرسمية، وقواعد السلامة، والصحة المهنية، وإصابات العمل والتعويض عنها، وما يقرره الوزير.,المادة السادسة ,تسري على العامل العرضي والموسمي والمؤقت الأحكام الخاصة بالواجبات وقواعد التأديب، والحد الأقصى لساعات العمل، وفترات الراحة اليومية والراحة الأسبوعية، والتشغيل الإضافي، والعطلات الرسمية، وقواعد السلامة، والصحة المهنية، وإصابات العمل والتعويض عنها، وما يقرره الوزير.,0.19444444444444445,0.7,0.21212121212121213,10,35,,,,,
السابعة,من هم أفراد أسرة صاحب العمل الذين يُستثنون من تطبيق أحكام النظام؟,هم زوجه وأصوله وفروعه الذين يعملون في المنشأة التي لا تضم سواهم.,السابعة,المادة السابعة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" 1 - يستثنى من تطبيق أحكام هذا النظام كل من أ - أفراد أسرة صاحب العمل، وهم زوجه وأصوله وفروعه الذين يعملون في المنشأة التي لا تضم سواهم. ب - لاعبو الأندية والاتحادات الرياضية ومدربوها. ج - العمالة المنزلية ومن في حكمهم. د - عمال الزراعة والرعاة الخاصون ومن في حكمهم. هـ - عمال البحر الذين يعملون في سفن تقل حمولتها عن خمسمائة طن. و - العاملون غير السعوديين القادمون لأداء مهمة محددة ولمدة لا تزيد على شهرين. 2 - يصدر الوزير - بالتنسيق مع الجهات المختصة - لائحة أو أكثر للفئات الواردة في الفقرات (أ) و(ج) و(د) و(هـ) و(و) من الفقرة (1) من هذه المادة؛ تشتمل على الحقوق والواجبات والأحكام الخاصة الأخرى ذات الصلة بكل فئة"".",المادة السابعة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" 1 - يستثنى من تطبيق أحكام هذا النظام كل من أ - أفراد أسرة صاحب العمل، وهم زوجه وأصوله وفروعه الذين يعملون في المنشأة التي لا تضم سواهم. ب - لاعبو الأندية والاتحادات الرياضية ومدربوها. ج - العمالة المنزلية ومن في حكمهم. د - عمال الزراعة والرعاة الخاصون ومن في حكمهم. هـ - عمال البحر الذين يعملون في سفن تقل حمولتها عن خمسمائة طن. و - العاملون غير السعوديين القادمون لأداء مهمة محددة ولمدة لا تزيد على شهرين. 2 - يصدر الوزير - بالتنسيق مع الجهات المختصة - لائحة أو أكثر للفئات الواردة في الفقرات (أ) و(ج) و(د) و(هـ) و(و) من الفقرة (1) من هذه المادة؛ تشتمل على الحقوق والواجبات والأحكام الخاصة الأخرى ذات الصلة بكل فئة"".",0.10476190476190476,0.9166666666666666,0.10576923076923077,12,130,,,,,
السابعة,هل يستثنى عمال البحر من تطبيق أحكام النظام؟,نعم، إذا كانوا يعملون في سفن تقل حمولتها عن خمسمائة طن.,السابعة,المادة السابعة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" 1 - يستثنى من تطبيق أحكام هذا النظام كل من أ - أفراد أسرة صاحب العمل، وهم زوجه وأصوله وفروعه الذين يعملون في المنشأة التي لا تضم سواهم. ب - لاعبو الأندية والاتحادات الرياضية ومدربوها. ج - العمالة المنزلية ومن في حكمهم. د - عمال الزراعة والرعاة الخاصون ومن في حكمهم. هـ - عمال البحر الذين يعملون في سفن تقل حمولتها عن خمسمائة طن. و - العاملون غير السعوديين القادمون لأداء مهمة محددة ولمدة لا تزيد على شهرين. 2 - يصدر الوزير - بالتنسيق مع الجهات المختصة - لائحة أو أكثر للفئات الواردة في الفقرات (أ) و(ج) و(د) و(هـ) و(و) من الفقرة (1) من هذه المادة؛ تشتمل على الحقوق والواجبات والأحكام الخاصة الأخرى ذات الصلة بكل فئة"".",المادة السابعة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" 1 - يستثنى من تطبيق أحكام هذا النظام كل من أ - أفراد أسرة صاحب العمل، وهم زوجه وأصوله وفروعه الذين يعملون في المنشأة التي لا تضم سواهم. ب - لاعبو الأندية والاتحادات الرياضية ومدربوها. ج - العمالة المنزلية ومن في حكمهم. د - عمال الزراعة والرعاة الخاصون ومن في حكمهم. هـ - عمال البحر الذين يعملون في سفن تقل حمولتها عن خمسمائة طن. و - العاملون غير السعوديين القادمون لأداء مهمة محددة ولمدة لا تزيد على شهرين. 2 - يصدر الوزير - بالتنسيق مع الجهات المختصة - لائحة أو أكثر للفئات الواردة في الفقرات (أ) و(ج) و(د) و(هـ) و(و) من الفقرة (1) من هذه المادة؛ تشتمل على الحقوق والواجبات والأحكام الخاصة الأخرى ذات الصلة بكل فئة"".",0.07476635514018691,0.7272727272727273,0.07692307692307693,11,130,,,,,
السابعة,ما هو الحد الأقصى لمدة عمل العامل غير السعودي القادم لأداء مهمة محددة لكي يُستثنى من تطبيق أحكام النظام؟,يُستثنى إذا كانت المدة لا تزيد على شهرين.,السابعة,المادة السابعة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" 1 - يستثنى من تطبيق أحكام هذا النظام كل من أ - أفراد أسرة صاحب العمل، وهم زوجه وأصوله وفروعه الذين يعملون في المنشأة التي لا تضم سواهم. ب - لاعبو الأندية والاتحادات الرياضية ومدربوها. ج - العمالة المنزلية ومن في حكمهم. د - عمال الزراعة والرعاة الخاصون ومن في حكمهم. هـ - عمال البحر الذين يعملون في سفن تقل حمولتها عن خمسمائة طن. و - العاملون غير السعوديين القادمون لأداء مهمة محددة ولمدة لا تزيد على شهرين. 2 - يصدر الوزير - بالتنسيق مع الجهات المختصة - لائحة أو أكثر للفئات الواردة في الفقرات (أ) و(ج) و(د) و(هـ) و(و) من الفقرة (1) من هذه المادة؛ تشتمل على الحقوق والواجبات والأحكام الخاصة الأخرى ذات الصلة بكل فئة"".",المادة السابعة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" 1 - يستثنى من تطبيق أحكام هذا النظام كل من أ - أفراد أسرة صاحب العمل، وهم زوجه وأصوله وفروعه الذين يعملون في المنشأة التي لا تضم سواهم. ب - لاعبو الأندية والاتحادات الرياضية ومدربوها. ج - العمالة المنزلية ومن في حكمهم. د - عمال الزراعة والرعاة الخاصون ومن في حكمهم. هـ - عمال البحر الذين يعملون في سفن تقل حمولتها عن خمسمائة طن. و - العاملون غير السعوديين القادمون لأداء مهمة محددة ولمدة لا تزيد على شهرين. 2 - يصدر الوزير - بالتنسيق مع الجهات المختصة - لائحة أو أكثر للفئات الواردة في الفقرات (أ) و(ج) و(د) و(هـ) و(و) من الفقرة (1) من هذه المادة؛ تشتمل على الحقوق والواجبات والأحكام الخاصة الأخرى ذات الصلة بكل فئة"".",0.037037037037037035,0.5,0.038461538461538464,8,130,,,,,
الثامنة,ما هو مصير أي شرط في عقد العمل يخالف أحكام نظام العمل؟,يبطل كل شرط يخالف أحكام هذا النظام.,الثامنة,المادة الثامنة ,يبطل كل شرط يخالف أحكام هذا النظام، ويبطل كل إبراء أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل.,المادة الثامنة ,يبطل كل شرط يخالف أحكام هذا النظام، ويبطل كل إبراء أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل.,0.28,1.0,0.28,7,29,0,,,,إحالة خاطئة: المادة الصحيحة للّغة هي التاسعة.
الثامنة,متى يبطل الإبراء أو المصالحة عن حقوق العامل الناشئة بموجب النظام؟,يبطل أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل.,الثامنة,المادة الثامنة ,يبطل كل شرط يخالف أحكام هذا النظام، ويبطل كل إبراء أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل.,المادة الثامنة ,يبطل كل شرط يخالف أحكام هذا النظام، ويبطل كل إبراء أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل.,0.44,1.0,0.44,11,29,0,,,,إحالة خاطئة: المادة الصحيحة للّغة هي التاسعة.
الثامنة,ما هو الاستثناء الذي يجعل المصالحة عن حقوق العامل أثناء سريان العقد جائزة؟,إذا كانت المصالحة أكثر فائدة للعامل.,الثامنة,المادة الثامنة ,يبطل كل شرط يخالف أحكام هذا النظام، ويبطل كل إبراء أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل.,المادة الثامنة ,يبطل كل شرط يخالف أحكام هذا النظام، ويبطل كل إبراء أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل.,0.10714285714285714,0.5,0.12,6,29,0,,,,إحالة خاطئة: المادة الصحيحة للّغة هي التاسعة.
التاسعة,ما هي اللغة الواجبة الاستعمال في عقود العمل والسجلات والملفات؟,اللغة العربية هي الواجبة الاستعمال.,التاسعة,المادة التاسعة ,اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها صاحب العمل لعماله. وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.,المادة التاسعة ,اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها صاحب العمل لعماله. وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.,0.1111111111111111,1.0,0.1111111111111111,5,55,,,,,
