المادة القانونية (م),السؤال,الإجابة,Gold_Article,Gold_Text,Overlap_Jaccard,Coverage_Answer_in_Article,Coverage_Article_in_Answer,Answer_Length_Tokens,Article_Length_Tokens
الثالثة عشرة,ما هو الالتزام الذي يقع على كل صاحب عمل بخصوص لائحة تنظيم العمل؟,يلتزم كل صاحب عمل بإعداد لائحة لتنظيم العمل في منشأته وفق النموذج المعد من الوزارة، ويجوز للوزير الاستثناء من ذلك. (المادة الثالثة عشرة),المادة الثالثة عشرة ,"تم تعديل أحكام المواد (الثانية عشرة) و(الثالثة عشرة) و(الرابعة عشرة)؛ وإعادة صياغتها بعد تعديل أحكامها لتكون في مادتين بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ على النحو الآتي ""المادة الثانية عشرة 1 - تضع الوزارة نموذجاً موحداً – أو أكثر – للائحة تنظيم العمل، على أن يكون شاملاً لقواعد تنظيم العمل وما يتصل به من أحكام، بما في ذلك الأحكام المتعلقة بالميزات والأحكام الخاصة بالمخالفات والجزاءات التأديبية. 2 - تضع الوزارة ضوابط وآليات اعتماد لوائح تنظيم العمل"". ""المادة الثالثة عشرة 1 - يلتزم كل صاحب عمل بإعداد لائحة لتنظيم العمل في منشأته وفق النموذج المعد من الوزارة، ويجوز للوزير الاستثناء من ذلك. 2 - يجوز لصاحب العمل تضمين اللائحة شروطاً وأحكاماً إضافية، بما لا يتعارض مع أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له. 3 - يجب على صاحب العمل أن يعلن لائحة تنظيم العمل وأي تعديل يطرأ عليها في مكان ظاهر في المنشأة أو أي وسيلة أخرى تكفل علم الخاضعين لها بأحكامها"".",0.19469026548672566,1.0,0.19469026548672566,23,154
الثالثة عشرة,كيف يجب على صاحب العمل إبلاغ العاملين بلائحة تنظيم العمل وأي تعديل يطرأ عليها؟,يجب على صاحب العمل أن يعلن لائحة تنظيم العمل وأي تعديل يطرأ عليها في مكان ظاهر في المنشأة أو أي وسيلة أخرى تكفل علم الخاضعين لها بأحكامها. (المادة الثالثة عشرة),المادة الثالثة عشرة ,"تم تعديل أحكام المواد (الثانية عشرة) و(الثالثة عشرة) و(الرابعة عشرة)؛ وإعادة صياغتها بعد تعديل أحكامها لتكون في مادتين بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ على النحو الآتي ""المادة الثانية عشرة 1 - تضع الوزارة نموذجاً موحداً – أو أكثر – للائحة تنظيم العمل، على أن يكون شاملاً لقواعد تنظيم العمل وما يتصل به من أحكام، بما في ذلك الأحكام المتعلقة بالميزات والأحكام الخاصة بالمخالفات والجزاءات التأديبية. 2 - تضع الوزارة ضوابط وآليات اعتماد لوائح تنظيم العمل"". ""المادة الثالثة عشرة 1 - يلتزم كل صاحب عمل بإعداد لائحة لتنظيم العمل في منشأته وفق النموذج المعد من الوزارة، ويجوز للوزير الاستثناء من ذلك. 2 - يجوز لصاحب العمل تضمين اللائحة شروطاً وأحكاماً إضافية، بما لا يتعارض مع أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له. 3 - يجب على صاحب العمل أن يعلن لائحة تنظيم العمل وأي تعديل يطرأ عليها في مكان ظاهر في المنشأة أو أي وسيلة أخرى تكفل علم الخاضعين لها بأحكامها"".",0.24778761061946902,1.0,0.24778761061946902,30,154
الرابعة عشرة,اذكر ثلاثة من البيانات التي يجب على صاحب العمل إبلاغ مكتب العمل المختص بها كتابة عند بدء العمل في المنشأة.,1. اسم المنشأة ونوعها ومركزها وعنوانها. 2. النشاط الاقتصادي المرخص له مع ذكر رقم السجل التجاري أو الترخيص. 3. عدد العمال المراد تشغيلهم. (المادة الرابعة عشرة),المادة الرابعة عشرة ,"تم تعديل أحكام المواد (الثانية عشرة) و(الثالثة عشرة) و(الرابعة عشرة)؛ وإعادة صياغتها بعد تعديل أحكامها لتكون في مادتين بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ على النحو الآتي ""المادة الثانية عشرة 1 - تضع الوزارة نموذجاً موحداً - أو أكثر - للائحة تنظيم العمل، على أن يكون شاملاً لقواعد تنظيم العمل وما يتصل به من أحكام، بما في ذلك الأحكام المتعلقة بالميزات والأحكام الخاصة بالمخالفات والجزاءات التأديبية. 2 - تضع الوزارة ضوابط وآليات اعتماد لوائح تنظيم العمل"". ""المادة الثالثة عشرة 1 - يلتزم كل صاحب عمل بإعداد لائحة لتنظيم العمل في منشأته وفق النموذج المعد من الوزارة، ويجوز للوزير الاستثناء من ذلك. 2 - يجوز لصاحب العمل تضمين اللائحة شروطاً وأحكاماً إضافية، بما لا يتعارض مع أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له. 3 - يجب على صاحب العمل أن يعلن لائحة تنظيم العمل وأي تعديل يطرأ عليها في مكان ظاهر في المنشأة أو أي وسيلة أخرى تكفل علم الخاضعين لها بأحكامها"".",0.0859375,0.4230769230769231,0.09734513274336283,26,154
الخامسة عشرة,في حالة تغيير الشريك أو المدير المسؤول في المنشأة، ما هي المدة المحددة لإبلاغ مكتب العمل باسم المدير الجديد؟,يجب الإبلاغ باسم الشريك أو المدير الجديد خلال سبعة أيام على الأكثر من تولي هذا الأخير عمله. (المادة الخامسة عشرة),المادة الخامسة عشرة ,على صاحب العمل عند بدء العمل في أي منشأة أن يبلغ مكتب العمل المختص كتابة بالبيانات الآتية 1 - اسم المنشأة ونوعها ومركزها، والعنوان الذي توجه إليه المراسلات، وأي معلومة يكون من شأنها سهولة الاتصال بالمنشأة. 2 - النشاط الاقتصادي المرخص له بمزاولته مع ذكر رقم السجل التجاري أو الترخيص وتاريخه، وجهة إصداره، وإرفاق صورة منه. 3 - عدد العمال المراد تشغيلهم في المنشأة. 4 - اسم مدير المنشأة المسؤول. 5 - أي بيانات أخرى تطلبها الوزارة.,0.036585365853658534,0.15,0.046153846153846156,20,72
السادسة عشرة,ما الذي يجب على صاحب العمل أن يضعه في مكان ظاهر بموقع العمل بخصوص أوقات العمل؟,يجب أن يضع جدولًا بمواعيد العمل، وفترات الراحة، ويوم الراحة الأسبوعي، ومواعيد بدء كل نوبة وانتهائها في حالة العمل بأسلوب المناوبة. (المادة السادسة عشرة),المادة السادسة عشرة ,1- إذا لم يتمكن صاحب العمل من ممارسة العمل بنفسه، فعليه أن يعين مسؤولًا يمثله في مكان العمل. وفي حالة تعدد الشركاء أو المديرين في المنشأة يسمى أحدهم من المقيمين في مكان العمل، يمثل صاحب العمل ويكون مسؤولًا عن أي مخالفة لأحكام هذا النظام. 2- على صاحب العمل أن يبلغ مكتب العمل المختص كتابة باسم الشريك أو المدير، وعليه في حالة تغييره أن يبلغ المكتب باسم الشريك أو المدير الجديد خلال سبعة أيام على الأكثر من تولي هذا الأخير عمله. 3- إذا لم يوجد شخص معين بصفة مدير مسؤول للمنشأة، أو إذا لم يباشر الشخص المعين عمله- فإن من يقوم فعلًا بأعمال المدير أو صاحب العمل نفسه يعد مديرًا مسؤولًا عن المنشأة. وفي كل الأحوال تبقى مسؤولية صاحب العمل قائمة بصفة أصلية.,0.05263157894736842,0.22727272727272727,0.0641025641025641,24,122
الثامنة عشرة,ما هو وضع عقود العمل ومدة الخدمة في حال انتقال ملكية المنشأة لمالك جديد أو تغيير شكلها النظامي (كالدمج أو التجزئة)؟,تبقى عقود العمل نافذة في الحالين، وتعد الخدمة مستمرة. (المادة الثامنة عشرة),المادة الثامنة عشرة ,إذا انتقلت ملكية المنشأة لمالك جديد، أو طرأ تغيير على شكلها النظامي بالدمج أو التجزئة أو غير ذلك، تبقى عقود العمل نافذة في الحالين، وتعد الخدمة مستمرة. أما بالنسبة لحقوق العمال الناشئة عن المدة السابقة لهذا التغيير من أجور، أو مكافأة نهاية خدمة مفترضة الاستحقاق بتاريخ انتقال الملكية، أو غير ذلك من حقوق؛ فيكون الخلف والسلف مسؤولين عنها بالتضامن. ويجوز في حال انتقال المنشآت الفردية لأي سبب اتفاق السلف والخلف على انتقال جميع حقوق العمال السابقة إلى المالك الجديد بموافقة العامل الخطية. وللعامل في حال عدم موافقته طلب إنهاء عقده وتسلّم مستحقاته من السلف.,0.1125,0.75,0.11688311688311688,12,94
الثامنة عشرة,من يتحمل المسؤولية عن حقوق العمال الناشئة عن المدة السابقة لتغيير الملكية (كالأجور ومكافأة نهاية الخدمة)؟,يكون الخلف والسلف مسؤولين عنها بالتضامن. (المادة الثامنة عشرة),المادة الثامنة عشرة ,إذا انتقلت ملكية المنشأة لمالك جديد، أو طرأ تغيير على شكلها النظامي بالدمج أو التجزئة أو غير ذلك، تبقى عقود العمل نافذة في الحالين، وتعد الخدمة مستمرة. أما بالنسبة لحقوق العمال الناشئة عن المدة السابقة لهذا التغيير من أجور، أو مكافأة نهاية خدمة مفترضة الاستحقاق بتاريخ انتقال الملكية، أو غير ذلك من حقوق؛ فيكون الخلف والسلف مسؤولين عنها بالتضامن. ويجوز في حال انتقال المنشآت الفردية لأي سبب اتفاق السلف والخلف على انتقال جميع حقوق العمال السابقة إلى المالك الجديد بموافقة العامل الخطية. وللعامل في حال عدم موافقته طلب إنهاء عقده وتسلّم مستحقاته من السلف.,0.06172839506172839,0.5555555555555556,0.06493506493506493,9,94
التاسعة عشرة,كيف تُعد المبالغ المستحقة للعامل أو ورثته بمقتضى هذا النظام، وماذا يُدفع للعامل في حالة إفلاس صاحب العمل؟,تُعد ديونًا ممتازة من الدرجة الأولى. وفي حالة الإفلاس أو التصفية، يُدفع للعامل مبلغ معجل يعادل أجر شهر واحد، وذلك قبل سداد أي مصروف آخر. (المادة التاسعة عشرة),المادة التاسعة عشرة ,تعد المبالغ المستحقة للعامل أو ورثته بمقتضى هذا النظام ديونًا ممتازة من الدرجة الأولى. وللعامل وورثته في سبيل استيفائها امتياز على جميع أموال صاحب العمل. وفي حالة إفلاس صاحب العمل أو تصفية منشأته تسجل المبالغ المذكورة ديونًا ممتازة، ويدفع للعامل مبلغ معجل يعادل أجر شهر واحد، وذلك قبل سداد أي مصروف آخر، بما في ذلك المصروفات القضائية ومصروفات الإفلاس أو التصفية.,0.40350877192982454,0.8214285714285714,0.4423076923076923,28,61
العشرون,ما هو العمل الذي يحظر على صاحب العمل أو العامل القيام به فيما يتعلق بأحكام النظام؟,لا يجوز لأي منهما أن يقوم بعمل من شأنه إساءة استعمال أحكام هذا النظام أو القرارات واللوائح الصادرة تنفيذاً له، أو العمل على الضغط على حرية الآخر أو حرية عمال أو أصحاب عمل آخرين. (المادة العشرون),المادة العشرون ,لا يجوز لصاحب العمل أو العامل أن يقوم بعمل من شأنه إساءة استعمال أحكام هذا النظام أو القرارات واللوائح الصادرة تنفيذًا لأحكامه. كما لا يجوز لأي منهما القيام بعمل من شأنه الضغط على حرية الآخر أو حرية عمال أو أصحاب عمل آخرين لتحقيق أي مصلحة أو وجهة نظر يتبناها مما يتنافى مع حرية العمل أو اختصاص الجهة المختصة بتسوية الخلافات.,0.5294117647058824,0.8709677419354839,0.574468085106383,36,60
الواحدة والعشرون,ما هي مسؤولية الوزير في سبيل تنفيذ أحكام هذا النظام؟,على الوزير التنسيق مع الجهات ذات العلاقة كلما اقتضى الأمر ذلك. (المادة الواحدة والعشرون),,,0.0,0.0,0.0,14,0
الثانية والعشرون,ما هي التغييرات التي طرأت على أحكام الوزارة للتوظيف بموجب المرسوم الملكي رقم (م/44)؟,"تم تغيير العبارة من ""وحدة"" و ""وحدات"" التوظيف إلى ""قنوات"" للتوظيف دون مقابل، ومن وظائفها: ""مواءمة طلبات طالبي العمل مع الأعمال الشاغرة وفق مؤهلاتهم"". (المادة الثانية والعشرون)",المادة الثانية والعشرون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعُدلت هذه المادة على النحو الآتي - عُدل صدر هذه المادة ليكون بالنص الآتي "" توفر الوزارة قنوات للتوظيف دون مقابل، تقوم بما يأتي"". - عُدلت الفقرة (3/3) لتكون بالنص الآتي ""مواءمة طلبات طالبي العمل مع الأعمال الشاغرة وفق مؤهلاتهم"".",0.23076923076923078,0.5555555555555556,0.2830188679245283,27,63
السادسة والعشرون,ما هو التزام المنشآت تجاه العمال السعوديين وفقاً للفقرة الأولى من هذه المادة؟,العمل على استقطاب السعوديين وتوظيفهم، وتوفير وسائل استمرارهم في العمل، وإتاحة الفرصة المناسبة لهم لإثبات صلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم للأعمال الموكولة إليهم. (المادة السادسة والعشرون),المادة السادسة والعشرون ,1- على جميع المنشآت في مختلف أنشطتها، وأيًّا كان عدد العاملين فيها، العمل على استقطاب السعوديين وتوظيفهم، وتوفير وسائل استمرارهم في العمل، وإتاحة الفرصة المناسبة لهم لإثبات صلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم للأعمال الموكولة إليهم. 2- يجب ألا تقل نسبة العمال السعوديين الذين يستخدمهم صاحب العمل عن 75% من مجموع عماله. وللوزير في حالة عدم توافر الكفايات الفنية أو المؤهلات الدراسية، أو تعذر إشغال الوظائف بالمواطنين أن يخفض هذه النسبة مؤقتًا.,0.35294117647058826,0.8888888888888888,0.36923076923076925,28,73
السادسة والعشرون,ما هي النسبة الدنيا الواجبة للعمال السعوديين من مجموع عمال صاحب العمل؟ ومن له سلطة خفضها مؤقتاً؟,يجب ألا تقل النسبة عن 75% من مجموع عماله. وللوزير أن يخفض هذه النسبة مؤقتًا في حالات محددة (مثل عدم توافر الكفايات الفنية). (المادة السادسة والعشرون),المادة السادسة والعشرون ,1- على جميع المنشآت في مختلف أنشطتها، وأيًّا كان عدد العاملين فيها، العمل على استقطاب السعوديين وتوظيفهم، وتوفير وسائل استمرارهم في العمل، وإتاحة الفرصة المناسبة لهم لإثبات صلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم للأعمال الموكولة إليهم. 2- يجب ألا تقل نسبة العمال السعوديين الذين يستخدمهم صاحب العمل عن 75% من مجموع عماله. وللوزير في حالة عدم توافر الكفايات الفنية أو المؤهلات الدراسية، أو تعذر إشغال الوظائف بالمواطنين أن يخفض هذه النسبة مؤقتًا.,0.2676056338028169,0.76,0.2923076923076923,26,73
السابعة والعشرون,"ما هو التعديل اللفظي الذي طرأ على المواد المتعلقة بتوظيف ""المعوقون"" بموجب المرسوم الملكي رقم (م/44)؟","تم إحلال عبارة ""التي يشغلها ذوو الإعاقة"" محل عبارة ""التي يشغلها المعوقون"". (المادة السابعة والعشرون)",المادة السابعة والعشرون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة وذلك بإحلال كلمة ""قنوات"" محل كلمتي ""وحدة"" و ""وحدات"" أينما وردت في المادة",0.041666666666666664,0.16666666666666666,0.05263157894736842,15,41
الثامنة والعشرون,ما هو الواجب على صاحب العمل تجاه العامل الذي أصيب بإصابة عمل نتج عنها نقص في قدراته، ولكنه لا يزال قادراً على أداء عمل آخر؟,على صاحب العمل الذي وقعت إصابة العامل لديه توظيفه في العمل المناسب بالأجر المحدد لهذا العمل. (المادة الثامنة والعشرون),المادة الثامنة والعشرون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة على النحو الآتي - إحلال كلمة ""قنوات"" محل كلمتي ""وحدة"" و ""وحدات"" أينما وردت في المادة. -إحلال كلمة ""الوزارة"" محل عبارة ""مكتب العمل المختص"". أينما وردت في المادة. - إحلال عبارة ""التي يشغلها ذوو الإعاقة"" محل عبارة ""التي يشغلها المعوقون"".",0.06451612903225806,0.23529411764705882,0.08163265306122448,19,66
الثلاثون,ما هي الأنشطة التي يحظر ممارستها إلا بترخيص من الوزارة؟,يحظر ممارسة نشاط توظيف السعوديين أو نشاط استقدام العمال أو نشاط الإسناد ما لم يكن مرخصاً له بذلك من الوزارة. (المادة الثلاثون),المادة الثلاثون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي ""1- لا يجوز لأي شخص طبيعي أو اعتباري أن يمارس نشاط توظيف السعوديين أو نشاط استقدام العمال أو نشاط الإسناد ما لم يكن مرخصاً له بذلك من الوزارة. وتحدد اللائحة ضوابط ممارسة كل من هذه الأنشطة، وشروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها. 2- تقترح الوزارة قيمة رسوم ممارسة الأنشطة المشار إليها في الفقرة (1) من هذه المادة، وأوجه صرفها، تمهيداً لاستكمال الإجراءات النظامية في هذا الشأن"".",0.17,0.8947368421052632,0.17346938775510204,22,123
الحادية والثلاثون,ما هي الإضافة التي طرأت على المادة المتعلقة بمكاتب التوظيف والاستقدام بموجب المرسوم الملكي رقم (م/44)؟,"تمت إضافة عبارة ""أو الشركات"" بعد كلمة ""المكاتب"". (المادة الحادية والثلاثون)",المادة الحادية والثلاثون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة وذلك بإضافة عبارة ""أو الشركات"" بعد كلمة ""المكاتب""",0.18421052631578946,0.6363636363636364,0.20588235294117646,11,36
الثانية والثلاثون,ما هو الإجراء الواجب اتخاذه بخصوص الاستقدام بقصد العمل؟,لا يجوز الاستقدام بقصد العمل إلا بعد موافقة الوزارة. (المادة الثانية والثلاثون),المادة الثانية والثلاثون ,لا يجوز الاستقدام بقصد العمل إلا بعد موافقة الوزارة .,0.75,0.75,1.0,12,9
